Ligue 1
Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2018-2019,10.05.2019,St Etienne       0,-,1     Montpellier
2018-2019,11.05.2019,Angers       1,-,2     PSG
2018-2019,12.05.2019,Rennes       1,-,1     Guingamp
2018-2019,18.05.2019,Bordeaux       0,-,1     Reims
2018-2019,24.05.2019,Amiens       2,-,1     Guingamp
2019-2020,09.08.2019,Monaco       0,-,3     Lyon
2019-2020,10.08.2019,Marsilya       0,-,2     Reims
2019-2020,11.08.2019,Lille       2,-,1     Nantes
2019-2020,16.08.2019,Lyon       6,-,0     Angers
2019-2020,17.08.2019,Nantes       0,-,0     Marsilya
2019-2020,18.08.2019,St Etienne       1,-,1     Brest
2019-2020,24.08.2019,Amiens       1,-,2     Nantes
2019-2020,25.08.2019,Monaco       2,-,2     Nimes
2019-2020,27.08.2019,Montpellier       1,-,0     Lyon
2019-2020,28.08.2019,Lille       3,-,0     St Etienne
2019-2020,30.08.2019,Metz       0,-,2     PSG
2019-2020,31.08.2019,Lyon       1,-,1     Bordeaux
2019-2020,01.09.2019,Reims       2,-,0     Lille
2019-2020,13.09.2019,Lille       2,-,1     Angers
2019-2020,14.09.2019,PSG       1,-,0     Strasbourg
2019-2020,15.09.2019,Nantes       1,-,0     Reims
2019-2020,20.09.2019,Strasbourg       2,-,1     Nantes
2019-2020,21.09.2019,Marsilya       1,-,1     Montpellier
2019-2020,22.09.2019,Rennes       1,-,1     Lille
2019-2020,24.09.2019,Dijon       0,-,0     Marsilya
2019-2020,25.09.2019,Brest       2,-,2     Lyon
2019-2020,28.09.2019,Lyon       0,-,1     Nantes
2019-2020,29.09.2019,Strasbourg       1,-,0     Montpellier
2019-2020,04.10.2019,Amiens       3,-,1     Marsilya
2019-2020,05.10.2019,PSG       4,-,0     Angers
2019-2020,06.10.2019,Lille       2,-,2     Nimes
2019-2020,18.10.2019,Nice       1,-,4     PSG
2019-2020,19.10.2019,Lyon       0,-,0     Dijon
2019-2020,20.10.2019,Bordeaux       0,-,1     St Etienne
2019-2020,25.10.2019,Nantes       0,-,1     Monaco
2019-2020,26.10.2019,Lille       3,-,0     Bordeaux
2019-2020,27.10.2019,Rennes       3,-,2     Toulouse
2019-2020,01.11.2019,Dijon       2,-,1     PSG
2019-2020,02.11.2019,Marsilya       2,-,1     Lille
2019-2020,03.11.2019,Bordeaux       2,-,0     Nantes
2019-2020,08.11.2019,Nice       1,-,1     Bordeaux
2019-2020,09.11.2019,Brest       1,-,2     PSG
2019-2020,10.11.2019,Rennes       3,-,1     Amiens
2019-2020,22.11.2019,PSG       2,-,0     Lille
2019-2020,23.11.2019,Lyon       2,-,1     Nice
2019-2020,24.11.2019,Bordeaux       2,-,1     Monaco
2019-2020,29.11.2019,Marsilya       2,-,1     Brest
2019-2020,30.11.2019,Strasbourg       1,-,2     Lyon
2019-2020,01.12.2019,Nantes       2,-,1     Toulouse
2019-2020,03.12.2019,Bordeaux       6,-,0     Nimes
2019-2020,04.12.2019,St Etienne       4,-,1     Nice
2019-2020,06.12.2019,Lille       1,-,0     Brest
2019-2020,07.12.2019,Montpellier       1,-,3     PSG
2019-2020,08.12.2019,Reims       3,-,1     St Etienne
2019-2020,13.12.2019,Lille       2,-,1     Montpellier
2019-2020,14.12.2019,Metz       1,-,1     Marsilya
2019-2020,15.12.2019,Bordeaux       0,-,1     Strasbourg
2019-2020,21.12.2019,Montpellier       4,-,0     Brest
2019-2020,10.01.2020,Rennes       0,-,1     Marsilya
2019-2020,11.01.2020,Bordeaux       1,-,2     Lyon
2019-2020,12.01.2020,St Etienne       0,-,2     Nantes
2019-2020,15.01.2020,Nimes       0,-,1     Rennes
2019-2020,24.01.2020,Nice       1,-,1     Rennes
2019-2020,25.01.2020,Marsilya       0,-,0     Angers
2019-2020,26.01.2020,Lyon       3,-,0     Toulouse
2019-2020,31.01.2020,Rennes       3,-,2     Nantes
2019-2020,01.02.2020,PSG       5,-,0     Montpellier
2019-2020,02.02.2020,Nice       2,-,1     Lyon
2019-2020,04.02.2020,Lille       1,-,0     Rennes
2019-2020,05.02.2020,Toulouse       0,-,1     Strasbourg
2019-2020,07.02.2020,Angers       0,-,2     Lille
2019-2020,08.02.2020,Marsilya       1,-,0     Toulouse
2019-2020,09.02.2020,Montpellier       1,-,0     St Etienne
2019-2020,14.02.2020,Monaco       1,-,0     Montpellier
2019-2020,15.02.2020,Amiens       4,-,4     PSG
2019-2020,16.02.2020,Lyon       1,-,1     Strasbourg
2019-2020,21.02.2020,Nice       2,-,2     Brest
2019-2020,22.02.2020,Marsilya       1,-,3     Nantes
2019-2020,23.02.2020,St Etienne       1,-,1     Reims
2019-2020,28.02.2020,Nimes       2,-,3     Marsilya
2019-2020,29.02.2020,PSG       4,-,0     Dijon
2019-2020,01.03.2020,Nantes       0,-,1     Lille
2019-2020,06.03.2020,Marsilya       2,-,2     Amiens
2019-2020,07.03.2020,Nice       2,-,1     Monaco
2019-2020,08.03.2020,St Etienne       1,-,1     Bordeaux
2019-2020,13.03.2020,Lyon,-,Reims
2019-2020,14.03.2020,Montpellier,-,Marsilya
2019-2020,15.03.2020,Bordeaux,-,Rennes
2019-2020,18.03.2020,Strasbourg,-,PSG
2019-2020,20.03.2020,Lille,-,Monaco
2019-2020,21.03.2020,Rennes,-,Lyon
2019-2020,22.03.2020,St Etienne,-,Strasbourg
2019-2020,04.04.2020,Montpellier,-,Lille
2019-2020,05.04.2020,Lyon,-,Nimes
2019-2020,11.04.2020,Nantes,-,Lyon
2019-2020,18.04.2020,Toulouse,-,Nantes
2019-2020,19.04.2020,Lyon,-,Marsilya
2019-2020,26.04.2020,Lyon,-,Monaco
2019-2020,02.05.2020,PSG,-,Brest
2019-2020,09.05.2020,St Etienne,-,Lille
2019-2020,16.05.2020,Dijon,-,Reims
2019-2020,23.05.2020,Rennes,-,Monaco
2020-2021,21.08.2020,Bordeaux       0,-,0     Nantes
2020-2021,22.08.2020,Dijon       0,-,1     Angers
2020-2021,23.08.2020,Monaco       2,-,2     Reims
2020-2021,28.08.2020,Lyon       4,-,1     Dijon
2020-2021,29.08.2020,Rennes       2,-,1     Montpellier
2020-2021,30.08.2020,Reims       0,-,1     Lille
2020-2021,10.09.2020,Lens       1,-,0     PSG
2020-2021,11.09.2020,Bordeaux       0,-,0     Lyon
2020-2021,12.09.2020,Montpellier       3,-,1     Nice
2020-2021,13.09.2020,Lille       1,-,0     Metz
2020-2021,15.09.2020,Montpellier       2,-,1     Lyon
2020-2021,16.09.2020,PSG       1,-,0     Metz
2020-2021,17.09.2020,Marsilya       0,-,2     St Etienne
2020-2021,18.09.2020,Lyon       0,-,0     Nimes
2020-2021,19.09.2020,Lens       2,-,1     Bordeaux
2020-2021,20.09.2020,Nice       0,-,3     PSG
2020-2021,25.09.2020,Lille       2,-,0     Nantes
2020-2021,26.09.2020,St Etienne       0,-,3     Rennes
2020-2021,27.09.2020,Bordeaux       0,-,0     Nice
2020-2021,02.10.2020,PSG       6,-,1     Angers
2020-2021,03.10.2020,Lens       2,-,0     St Etienne
2020-2021,04.10.2020,Montpellier       0,-,1     Nimes
2020-2021,16.10.2020,Dijon       1,-,1     Rennes
2020-2021,17.10.2020,Reims       1,-,3     Lorient
2020-2021,18.10.2020,Strasbourg       2,-,3     Lyon
2020-2021,23.10.2020,Rennes       1,-,2     Angers
2020-2021,24.10.2020,Lorient       0,-,1     Marsilya
2020-2021,25.10.2020,Bordeaux       2,-,0     Nimes
2020-2021,31.10.2020,Rennes       2,-,1     Brest
2020-2021,01.11.2020,St Etienne       0,-,1     Montpellier
2020-2021,06.11.2020,Strasbourg       0,-,1     Marsilya
2020-2021,07.11.2020,Bordeaux       0,-,2     Montpellier
2020-2021,08.11.2020,Brest       3,-,2     Lille
2020-2021,20.11.2020,Rennes       0,-,1     Bordeaux
2020-2021,21.11.2020,Brest       4,-,1     St Etienne
2020-2021,22.11.2020,Nantes       1,-,1     Metz
2020-2021,25.11.2020,Lens       1,-,1     Nantes
2020-2021,27.11.2020,Strasbourg       1,-,1     Rennes
2020-2021,28.11.2020,Marsilya       3,-,1     Nantes
2020-2021,29.11.2020,Lyon       3,-,0     Reims
2020-2021,04.12.2020,Nimes       0,-,2     Marsilya
2020-2021,05.12.2020,Rennes       0,-,2     Lens
2020-2021,06.12.2020,Lille       2,-,1     Monaco
2020-2021,11.12.2020,St Etienne       0,-,0     Angers
2020-2021,12.12.2020,Marsilya       2,-,1     Monaco
2020-2021,13.12.2020,Nice       0,-,1     Rennes
2020-2021,16.12.2020,Angers       0,-,2     Strasbourg
2020-2021,19.12.2020,Metz       2,-,0     Lens
2020-2021,20.12.2020,Brest       2,-,2     Montpellier
2020-2021,23.12.2020,Bordeaux       1,-,3     Reims
2020-2021,06.01.2021,Brest       2,-,0     Nice
2020-2021,09.01.2021,Bordeaux       2,-,1     Lorient
2020-2021,15.01.2021,Montpellier       2,-,3     Monaco
2020-2021,16.01.2021,Marsilya       1,-,2     Nimes
2020-2021,17.01.2021,Brest       1,-,2     Rennes
2020-2021,20.01.2021,Marsilya       0,-,1     Lens
2020-2021,22.01.2021,PSG       4,-,0     Montpellier
2020-2021,23.01.2021,Lens       0,-,1     Nice
2020-2021,24.01.2021,Bordeaux       2,-,1     Angers
2020-2021,27.01.2021,Lorient       3,-,2     Dijon
2020-2021,29.01.2021,Lyon       2,-,1     Bordeaux
2020-2021,30.01.2021,Montpellier       1,-,2     Lens
2020-2021,31.01.2021,Nice       0,-,1     St Etienne
2020-2021,03.02.2021,Bordeaux       0,-,3     Lille
2020-2021,06.02.2021,Lorient       1,-,0     Reims
2020-2021,07.02.2021,Brest       2,-,1     Bordeaux
2020-2021,13.02.2021,PSG       2,-,1     Nice
2020-2021,14.02.2021,Monaco       2,-,2     Lorient
2020-2021,17.02.2021,Marsilya       3,-,2     Nice
2020-2021,19.02.2021,Brest       2,-,3     Lyon
2020-2021,20.02.2021,St Etienne       1,-,1     Reims
2020-2021,21.02.2021,Montpellier       2,-,1     Rennes
2020-2021,24.02.2021,Nimes       1,-,0     Lorient
2020-2021,26.02.2021,Rennes       1,-,2     Nice
2020-2021,27.02.2021,Bordeaux       1,-,2     Metz
2020-2021,28.02.2021,Monaco       2,-,0     Brest
2020-2021,03.03.2021,Brest       3,-,1     Dijon
2020-2021,10.03.2021,Marsilya       1,-,0     Rennes
2020-2021,12.03.2021,Reims       1,-,1     Lyon
2020-2021,13.03.2021,Angers       0,-,1     St Etienne
2020-2021,14.03.2021,Nimes       1,-,1     Montpellier
2020-2021,19.03.2021,St Etienne       0,-,4     Monaco
2020-2021,20.03.2021,Metz       1,-,3     Rennes
2020-2021,21.03.2021,Strasbourg       1,-,2     Lens
2020-2021,03.04.2021,Monaco       4,-,0     Metz
2020-2021,04.04.2021,Angers       1,-,1     Montpellier
2020-2021,09.04.2021,Metz       0,-,2     Lille
2020-2021,10.04.2021,Strasbourg       1,-,4     PSG
2020-2021,11.04.2021,Rennes       1,-,0     Nantes
2020-2021,16.04.2021,Lille       1,-,1     Montpellier
2020-2021,17.04.2021,Angers       0,-,3     Rennes
2020-2021,18.04.2021,PSG       3,-,2     St Etienne
2020-2021,23.04.2021,Reims       1,-,3     Marsilya
2020-2021,24.04.2021,St Etienne       1,-,2     Brest
2020-2021,25.04.2021,Nice       3,-,1     Montpellier
2020-2021,30.04.2021,Marsilya       1,-,1     Strasbourg
2020-2021,01.05.2021,PSG       2,-,1     Lens
2020-2021,02.05.2021,Bordeaux       1,-,0     Rennes
2020-2021,07.05.2021,Lens       0,-,3     Lille
2020-2021,08.05.2021,Nantes       3,-,0     Bordeaux
2020-2021,09.05.2021,St Etienne       1,-,0     Marsilya
2020-2021,16.05.2021,Bordeaux       3,-,0     Lens
2020-2021,23.05.2021,Angers       1,-,2     Lille
2021-2022,06.08.2021,Monaco       1,-,1     Nantes
2021-2022,07.08.2021,Lyon       1,-,1     Brest
2021-2022,08.08.2021,Rennes       1,-,1     Lens
2021-2022,13.08.2021,Lorient       1,-,0     Monaco
2021-2022,14.08.2021,Lille       0,-,4     Nice
2021-2022,15.08.2021,Angers       3,-,0     Lyon
2021-2022,20.08.2021,Brest       2,-,4     PSG
2021-2022,21.08.2021,Monaco       0,-,2     Lens
2021-2022,22.08.2021,Lyon       3,-,3     Clermont
2021-2022,27.08.2021,Nantes       0,-,1     Lyon
2021-2022,28.08.2021,Nice       4,-,0     Bordeaux
2021-2022,29.08.2021,Troyes       1,-,2     Monaco
2021-2022,10.09.2021,Lorient       2,-,1     Lille
2021-2022,11.09.2021,PSG       4,-,0     Clermont
2021-2022,12.09.2021,Montpellier       2,-,0     St Etienne
2021-2022,17.09.2021,Strasbourg       3,-,0     Metz
2021-2022,18.09.2021,Lens       1,-,0     Lille
2021-2022,19.09.2021,Nice       2,-,2     Monaco
2021-2022,22.09.2021,Lille       2,-,1     Reims
2021-2022,25.09.2021,St Etienne       0,-,3     Nice
2021-2022,26.09.2021,Bordeaux       1,-,1     Rennes
2021-2022,01.10.2021,Lens       2,-,0     Reims
2021-2022,02.10.2021,Montpellier       1,-,1     Strasbourg
2021-2022,03.10.2021,Rennes       2,-,0     PSG
2021-2022,15.10.2021,PSG       2,-,1     Angers
2021-2022,16.10.2021,Clermont       1,-,0     Lille
2021-2022,17.10.2021,Troyes       1,-,0     Nice
2021-2022,22.10.2021,St Etienne       2,-,2     Angers
2021-2022,23.10.2021,Nantes       2,-,1     Clermont
2021-2022,24.10.2021,Nice       3,-,2     Lyon
2021-2022,27.10.2021,Nice       1,-,1     Marsilya
2021-2022,29.10.2021,PSG       2,-,1     Lille
2021-2022,30.10.2021,Metz       1,-,1     St Etienne
2021-2022,31.10.2021,Angers       1,-,2     Nice
2021-2022,05.11.2021,Lens       4,-,0     Troyes
2021-2022,06.11.2021,Lille       1,-,1     Angers
2021-2022,07.11.2021,Marsilya       0,-,0     Metz
2021-2022,19.11.2021,Monaco       2,-,2     Lille
2021-2022,20.11.2021,PSG       3,-,1     Nantes
2021-2022,21.11.2021,Brest       4,-,0     Lens
2021-2022,26.11.2021,Lens       2,-,2     Angers
2021-2022,27.11.2021,Lille       1,-,1     Nantes
2021-2022,28.11.2021,St Etienne       1,-,3     PSG
2021-2022,01.12.2021,Angers       1,-,3     Monaco
2021-2022,04.12.2021,Marsilya       1,-,2     Brest
2021-2022,05.12.2021,St Etienne       0,-,5     Rennes
2021-2022,10.12.2021,Nantes       3,-,2     Lens
2021-2022,11.12.2021,Brest       0,-,4     Montpellier
2021-2022,12.12.2021,Lille       0,-,0     Lyon
2021-2022,22.12.2021,Bordeaux       2,-,3     Lille
2021-2022,07.01.2022,Bordeaux       0,-,1     Marsilya
2021-2022,08.01.2022,Lens       1,-,0     Rennes
2021-2022,09.01.2022,Brest       0,-,3     Nice
2021-2022,14.01.2022,Nice       2,-,1     Nantes
2021-2022,15.01.2022,St Etienne       1,-,2     Lens
2021-2022,16.01.2022,Rennes       6,-,0     Bordeaux
2021-2022,19.01.2022,Clermont       0,-,2     Strasbourg
2021-2022,21.01.2022,Lyon       1,-,0     St Etienne
2021-2022,22.01.2022,Brest       2,-,0     Lille
2021-2022,23.01.2022,Metz       0,-,2     Nice
2021-2022,26.01.2022,Angers       0,-,1     St Etienne
2021-2022,01.02.2022,Lyon       2,-,1     Marsilya
2021-2022,04.02.2022,Marsilya       5,-,2     Angers
2021-2022,05.02.2022,St Etienne       3,-,1     Montpellier
2021-2022,06.02.2022,Lorient       2,-,0     Lens
2021-2022,11.02.2022,PSG       1,-,0     Rennes
2021-2022,12.02.2022,Montpellier       0,-,1     Lille
2021-2022,13.02.2022,Monaco       0,-,0     Lorient
2021-2022,18.02.2022,Lille       0,-,0     Metz
2021-2022,19.02.2022,Lens       1,-,1     Lyon
2021-2022,20.02.2022,Nice       1,-,0     Angers
2021-2022,25.02.2022,Montpellier       2,-,4     Rennes
2021-2022,26.02.2022,Strasbourg       0,-,0     Nice
2021-2022,27.02.2022,Monaco       1,-,2     Reims
2021-2022,04.03.2022,Lorient       1,-,4     Lyon
2021-2022,05.03.2022,Lens       0,-,1     Brest
2021-2022,06.03.2022,St Etienne       1,-,0     Metz
2021-2022,11.03.2022,Lille       0,-,0     St Etienne
2021-2022,12.03.2022,Montpellier       0,-,0     Nice
2021-2022,13.03.2022,PSG       3,-,0     Bordeaux
2021-2022,18.03.2022,St Etienne       1,-,1     Troyes
2021-2022,19.03.2022,Lens       3,-,1     Clermont
2021-2022,20.03.2022,Monaco       3,-,0     PSG
2021-2022,02.04.2022,Nice       1,-,1     Rennes
2021-2022,03.04.2022,Strasbourg       1,-,0     Lens
2021-2022,08.04.2022,Lorient       6,-,2     St Etienne
2021-2022,09.04.2022,Reims       2,-,3     Rennes
2021-2022,10.04.2022,Bordeaux       3,-,1     Metz
2021-2022,15.04.2022,Rennes       2,-,3     Monaco
2021-2022,16.04.2022,St Etienne       2,-,1     Brest
2021-2022,17.04.2022,Nice       2,-,1     Lorient
2021-2022,20.04.2022,Bordeaux       2,-,2     St Etienne
2021-2022,23.04.2022,Lyon       5,-,2     Montpellier
2021-2022,24.04.2022,Rennes       5,-,0     Lorient
2021-2022,29.04.2022,Strasbourg       3,-,3     PSG
2021-2022,30.04.2022,Lens       2,-,2     Nantes
2021-2022,01.05.2022,Troyes       3,-,0     Lille
2021-2022,06.05.2022,Lille       1,-,2     Monaco
2021-2022,07.05.2022,Brest       0,-,1     Strasbourg
2021-2022,08.05.2022,Metz       3,-,2     Lyon
2021-2022,11.05.2022,Nice       4,-,2     St Etienne
2021-2022,14.05.2022,Bordeaux       0,-,0     Lorient
2021-2022,21.05.2022,Angers       2,-,0     Montpellier
2022-2023,05.08.2022,Lyon       2,-,1     AC Ajaccio
2022-2023,06.08.2022,Strasbourg       1,-,2     Monaco
2022-2023,07.08.2022,Toulouse       1,-,1     Nice
2022-2023,12.08.2022,Nantes       1,-,1     Lille
2022-2023,13.08.2022,Monaco       1,-,1     Rennes
2022-2023,14.08.2022,AC Ajaccio       0,-,0     Lens
2022-2023,19.08.2022,Lyon       4,-,1     Troyes
2022-2023,20.08.2022,Monaco       1,-,4     Lens
2022-2023,21.08.2022,Strasbourg       1,-,1     Reims
2022-2023,26.08.2022,AC Ajaccio       1,-,3     Lille
2022-2023,27.08.2022,AJ Auxerre       1,-,0     Strasbourg
2022-2023,28.08.2022,Nantes       3,-,1     Toulouse
2022-2023,31.08.2022,Monaco       2,-,4     Troyes
2022-2023,03.09.2022,AJ Auxerre       0,-,2     Marsilya
2022-2023,04.09.2022,Montpellier       1,-,3     Lille
2022-2023,07.09.2022,Lorient       3,-,1     Lyon
2022-2023,09.09.2022,Lens       1,-,0     Troyes
2022-2023,10.09.2022,PSG       1,-,0     Brest
2022-2023,11.09.2022,Strasbourg       0,-,0     Clermont
2022-2023,16.09.2022,AJ Auxerre       1,-,3     Lorient
2022-2023,17.09.2022,Montpellier       2,-,1     Strasbourg
2022-2023,18.09.2022,Reims       0,-,3     Monaco
2022-2023,30.09.2022,Angers       0,-,3     Marsilya
2022-2023,01.10.2022,Strasbourg       1,-,3     Rennes
2022-2023,02.10.2022,Lorient       2,-,1     Lille
2022-2023,07.10.2022,Lyon       1,-,1     Toulouse
2022-2023,08.10.2022,Marsilya       1,-,2     AC Ajaccio
2022-2023,09.10.2022,Montpellier       0,-,2     Monaco
2022-2023,14.10.2022,Strasbourg       0,-,3     Lille
2022-2023,15.10.2022,Lorient       0,-,0     Reims
2022-2023,16.10.2022,Toulouse       3,-,2     Angers
2022-2023,21.10.2022,AC Ajaccio       0,-,3     PSG
2022-2023,22.10.2022,Montpellier       1,-,2     Lyon
2022-2023,23.10.2022,Angers       1,-,2     Rennes
2022-2023,28.10.2022,Lens       3,-,0     Toulouse
2022-2023,29.10.2022,PSG       4,-,3     Troyes
2022-2023,30.10.2022,AJ Auxerre       1,-,0     AC Ajaccio
2022-2023,04.11.2022,Troyes       1,-,1     AJ Auxerre
2022-2023,05.11.2022,AC Ajaccio       4,-,2     Strasbourg
2022-2023,06.11.2022,Lorient       1,-,2     PSG
2022-2023,11.11.2022,Lyon       1,-,1     Nice
2022-2023,12.11.2022,Lens       2,-,1     Clermont
2022-2023,13.11.2022,PSG       5,-,0     AJ Auxerre
2022-2023,28.12.2022,AC Ajaccio       1,-,0     Angers
2022-2023,29.12.2022,Lorient       0,-,2     Montpellier
2022-2023,01.01.2023,Monaco       1,-,0     Brest
2022-2023,02.01.2023,Strasbourg       2,-,3     Troyes
2022-2023,11.01.2023,AC Ajaccio       0,-,1     Reims
2022-2023,14.01.2023,Lens       1,-,0     AJ Auxerre
2022-2023,15.01.2023,Lille       5,-,1     Troyes
2022-2023,27.01.2023,Lorient       2,-,1     Rennes
2022-2023,28.01.2023,Troyes       1,-,1     Lens
2022-2023,29.01.2023,Nice       1,-,0     Lille
2022-2023,01.02.2023,Angers       1,-,2     AC Ajaccio
2022-2023,04.02.2023,PSG       2,-,1     Toulouse
2022-2023,05.02.2023,Clermont       0,-,2     Monaco
2022-2023,10.02.2023,Nice       3,-,0     AC Ajaccio
2022-2023,11.02.2023,Monaco       3,-,1     PSG
2022-2023,12.02.2023,Toulouse       3,-,1     Rennes
2022-2023,17.02.2023,AJ Auxerre       2,-,1     Lyon
2022-2023,18.02.2023,Nice       0,-,0     Reims
2022-2023,19.02.2023,PSG       4,-,3     Lille
2022-2023,24.02.2023,Lille       2,-,1     Brest
2022-2023,25.02.2023,Angers       1,-,3     Lyon
2022-2023,26.02.2023,Lorient       0,-,1     AJ Auxerre
2022-2023,03.03.2023,Nice       1,-,1     AJ Auxerre
2022-2023,04.03.2023,Lens       1,-,1     Lille
2022-2023,05.03.2023,Troyes       2,-,2     Monaco
2022-2023,10.03.2023,Lille       3,-,3     Lyon
2022-2023,11.03.2023,AJ Auxerre       0,-,0     Rennes
2022-2023,12.03.2023,Clermont       0,-,4     Lens
2022-2023,17.03.2023,Lyon       1,-,1     Nantes
2022-2023,18.03.2023,Toulouse       0,-,2     Lille
2022-2023,19.03.2023,AC Ajaccio       0,-,2     Monaco
2022-2023,31.03.2023,Marsilya       1,-,1     Montpellier
2022-2023,01.04.2023,AJ Auxerre       1,-,0     Troyes
2022-2023,02.04.2023,Lille       3,-,1     Lorient
2022-2023,07.04.2023,Lens       2,-,1     Strasbourg
2022-2023,08.04.2023,Angers       1,-,0     Lille
2022-2023,09.04.2023,Lyon       3,-,1     Rennes
2022-2023,14.04.2023,Toulouse       1,-,2     Lyon
2022-2023,15.04.2023,Rennes       3,-,0     Reims
2022-2023,16.04.2023,Lille       2,-,1     Montpellier
2022-2023,21.04.2023,Angers       1,-,2     PSG
2022-2023,22.04.2023,AJ Auxerre       1,-,1     Lille
2022-2023,23.04.2023,Reims       0,-,2     Strasbourg
2022-2023,28.04.2023,Strasbourg       1,-,2     Lyon
2022-2023,29.04.2023,Lille       3,-,0     AC Ajaccio
2022-2023,30.04.2023,Monaco       0,-,4     Montpellier
2022-2023,02.05.2023,Toulouse       0,-,1     Lens
2022-2023,03.05.2023,Brest       2,-,0     Nantes
2022-2023,06.05.2023,Nice       2,-,1     Rennes
2022-2023,07.05.2023,Angers       1,-,2     Monaco
2022-2023,12.05.2023,Lens       2,-,1     Reims
2022-2023,13.05.2023,Strasbourg       2,-,0     Nice
2022-2023,14.05.2023,Clermont       2,-,1     Lyon
2022-2023,19.05.2023,Lyon       3,-,1     Monaco
2022-2023,20.05.2023,Nantes       0,-,3     Montpellier
2022-2023,21.05.2023,AC Ajaccio       0,-,5     Rennes
2022-2023,27.05.2023,Angers       2,-,1     Troyes
2022-2023,03.06.2023,AC Ajaccio       1,-,0     Marsilya
2023-2024,11.08.2023,Nice       1,-,1     Lille
2023-2024,12.08.2023,Marsilya       2,-,1     Reims
2023-2024,13.08.2023,Brest       3,-,2     Lens
2023-2024,18.08.2023,Metz       2,-,2     Marsilya
2023-2024,19.08.2023,Lyon       1,-,4     Montpellier
2023-2024,20.08.2023,Lille       2,-,0     Nantes
2023-2024,25.08.2023,Nantes       3,-,3     Monaco
2023-2024,26.08.2023,Marsilya       2,-,0     Brest
2023-2024,27.08.2023,Rennes       2,-,2     Le Havre
2023-2024,01.09.2023,Nantes       1,-,1     Marsilya
2023-2024,02.09.2023,Brest       0,-,0     Rennes
2023-2024,03.09.2023,Toulouse       2,-,2     Clermont
2023-2024,15.09.2023,PSG       2,-,3     Nice
2023-2024,16.09.2023,Rennes       2,-,2     Lille
2023-2024,17.09.2023,Lorient       2,-,2     Monaco
2023-2024,22.09.2023,Monaco       0,-,1     Nice
2023-2024,23.09.2023,Nantes       5,-,3     Lorient
2023-2024,24.09.2023,Metz       0,-,1     Strasbourg
2023-2024,26.09.2023,Lille       1,-,2     Reims
2023-2024,29.09.2023,Strasbourg       0,-,1     Lens
2023-2024,30.09.2023,Clermont       0,-,0     PSG
2023-2024,01.10.2023,Reims       2,-,0     Lyon
2023-2024,06.10.2023,Strasbourg       1,-,2     Nantes
2023-2024,07.10.2023,Metz       0,-,1     Nice
2023-2024,08.10.2023,Marsilya       3,-,0     Le Havre
2023-2024,20.10.2023,Le Havre       0,-,0     Lens
2023-2024,21.10.2023,PSG       3,-,0     Strasbourg
2023-2024,22.10.2023,Lorient       2,-,1     Rennes
2023-2024,27.10.2023,Clermont       0,-,1     Nice
2023-2024,28.10.2023,Reims       1,-,0     Lorient
2023-2024,29.10.2023,Brest       2,-,3     PSG
2023-2024,03.11.2023,PSG       3,-,0     Montpellier
2023-2024,04.11.2023,Lorient       0,-,0     Lens
2023-2024,05.11.2023,Lyon       1,-,1     Metz
2023-2024,10.11.2023,Montpellier       0,-,0     Nice
2023-2024,11.11.2023,Reims       0,-,3     PSG
2023-2024,12.11.2023,Lille       1,-,1     Toulouse
2023-2024,24.11.2023,PSG       5,-,2     Monaco
2023-2024,25.11.2023,Clermont       0,-,3     Lens
2023-2024,26.11.2023,Nice       1,-,0     Toulouse
2023-2024,29.11.2023,Montpellier       1,-,1     Clermont
2023-2024,01.12.2023,Reims       2,-,1     Strasbourg
2023-2024,02.12.2023,Lens       3,-,2     Lyon
2023-2024,03.12.2023,Le Havre       0,-,2     PSG
2023-2024,06.12.2023,Marsilya       3,-,0     Lyon
2023-2024,07.12.2023,Brest       1,-,1     Strasbourg
2023-2024,08.12.2023,Montpellier       0,-,0     Lens
2023-2024,09.12.2023,Rennes       1,-,2     Monaco
2023-2024,10.12.2023,Nice       2,-,1     Reims
2023-2024,15.12.2023,Monaco       0,-,1     Lyon
2023-2024,16.12.2023,Le Havre       3,-,1     Nice
2023-2024,17.12.2023,Nantes       0,-,2     Brest
2023-2024,20.12.2023,PSG       3,-,1     Metz
2023-2024,12.01.2024,Marsilya       1,-,1     Strasbourg
2023-2024,13.01.2024,Monaco       1,-,3     Reims
2023-2024,14.01.2024,Lille       3,-,0     Lorient
2023-2024,26.01.2024,Lyon       2,-,3     Rennes
2023-2024,27.01.2024,Nice       1,-,0     Metz
2023-2024,28.01.2024,Montpellier       0,-,0     Lille
2023-2024,02.02.2024,Strasbourg       1,-,2     PSG
2023-2024,03.02.2024,Rennes       2,-,1     Montpellier
2023-2024,04.02.2024,Monaco       1,-,1     Le Havre
2023-2024,09.02.2024,Marsilya       1,-,1     Metz
2023-2024,10.02.2024,Lens       3,-,1     Strasbourg
2023-2024,11.02.2024,Le Havre       0,-,1     Rennes
2023-2024,16.02.2024,Lyon       1,-,0     Nice
2023-2024,17.02.2024,Lille       3,-,0     Le Havre
2023-2024,18.02.2024,Strasbourg       1,-,3     Lorient
2023-2024,23.02.2024,Metz       1,-,2     Lyon
2023-2024,24.02.2024,Lorient       0,-,1     Nantes
2023-2024,25.02.2024,Lens       2,-,3     Monaco
