LeaugePlayed,Season,Date,HomeTeam,Score,AwayTeam
La Liga,2022-2023,08.10.2022,Almeria,3-1,Rayo Vallecano
La Liga,2022-2023,08.10.2022,Atl. Madrid,2-1,Girona
La Liga,2022-2023,08.10.2022,Sevilla,1-1,Ath. Bilbao
La Liga,2022-2023,08.10.2022,Getafe,0-1,Real Madrid
La Liga,2022-2023,09.10.2022,R. Valladolid,0-0,Real Betis
La Liga,2022-2023,09.10.2022,Cadiz,2-2,Espanyol
La Liga,2022-2023,09.10.2022,R. Sociedad,1-0,Villarreal
La Liga,2022-2023,09.10.2022,Barcelona,1-0,Celta Vigo
La Liga,2022-2023,10.10.2022,Elche,1-1,Mallorca
La Liga,2022-2023,14.10.2022,Rayo Vallecano,0-0,Getafe
La Liga,2022-2023,15.10.2022,Girona,1-1,Cadiz
La Liga,2022-2023,15.10.2022,Valencia,2-2,Elche
La Liga,2022-2023,15.10.2022,Mallorca,0-1,Sevilla
La Liga,2022-2023,15.10.2022,Ath. Bilbao,0-1,Atl. Madrid
La Liga,2022-2023,16.10.2022,Celta Vigo,1-2,R. Sociedad
La Liga,2022-2023,16.10.2022,Real Madrid,3-1,Barcelona
La Liga,2022-2023,16.10.2022,Espanyol,1-0,R. Valladolid
La Liga,2022-2023,16.10.2022,Real Betis,3-1,Almeria
La Liga,2022-2023,17.10.2022,Villarreal,2-0,Osasuna
La Liga,2022-2023,18.10.2022,Sevilla,1-1,Valencia
La Liga,2022-2023,18.10.2022,Getafe,2-2,Ath. Bilbao
La Liga,2022-2023,18.10.2022,Atl. Madrid,1-1,Rayo Vallecano
La Liga,2022-2023,19.10.2022,Cadiz,0-0,Real Betis
La Liga,2022-2023,19.10.2022,R. Valladolid,4-1,Celta Vigo
La Liga,2022-2023,19.10.2022,R. Sociedad,1-0,Mallorca
La Liga,2022-2023,19.10.2022,Elche,0-3,Real Madrid
La Liga,2022-2023,20.10.2022,Almeria,3-2,Girona
La Liga,2022-2023,20.10.2022,Osasuna,1-0,Espanyol
La Liga,2022-2023,20.10.2022,Barcelona,3-0,Villarreal
La Liga,2022-2023,22.10.2022,Rayo Vallecano,5-1,Cadiz
La Liga,2022-2023,22.10.2022,R. Valladolid,1-0,R. Sociedad
La Liga,2022-2023,22.10.2022,Valencia,1-2,Mallorca
La Liga,2022-2023,22.10.2022,Real Madrid,3-1,Sevilla
La Liga,2022-2023,23.10.2022,Espanyol,2-2,Elche
La Liga,2022-2023,23.10.2022,Real Betis,1-2,Atl. Madrid
La Liga,2022-2023,23.10.2022,Girona,1-1,Osasuna
La Liga,2022-2023,23.10.2022,Villarreal,2-1,Almeria
La Liga,2022-2023,23.10.2022,Barcelona,4-0,Ath. Bilbao
La Liga,2022-2023,24.10.2022,Celta Vigo,1-1,Getafe
La Liga,2022-2023,28.10.2022,Mallorca,1-1,Espanyol
La Liga,2022-2023,29.10.2022,Almeria,3-1,Celta Vigo
La Liga,2022-2023,29.10.2022,Cadiz,3-2,Atl. Madrid
La Liga,2022-2023,29.10.2022,Sevilla,0-1,Rayo Vallecano
La Liga,2022-2023,29.10.2022,Valencia,0-1,Barcelona
La Liga,2022-2023,30.10.2022,Osasuna,2-0,R. Valladolid
La Liga,2022-2023,30.10.2022,Real Madrid,1-1,Girona
La Liga,2022-2023,30.10.2022,Ath. Bilbao,1-0,Villarreal
La Liga,2022-2023,30.10.2022,R. Sociedad,0-2,Real Betis
La Liga,2022-2023,31.10.2022,Elche,0-1,Getafe
La Liga,2022-2023,04.11.2022,Girona,2-1,Ath. Bilbao
La Liga,2022-2023,05.11.2022,Getafe,0-0,Cadiz
La Liga,2022-2023,05.11.2022,R. Valladolid,2-1,Elche
La Liga,2022-2023,05.11.2022,Celta Vigo,1-2,Osasuna
La Liga,2022-2023,05.11.2022,Barcelona,2-0,Almeria
La Liga,2022-2023,06.11.2022,Atl. Madrid,1-1,Espanyol
La Liga,2022-2023,06.11.2022,R. Sociedad,1-1,Valencia
La Liga,2022-2023,06.11.2022,Villarreal,0-2,Mallorca
La Liga,2022-2023,06.11.2022,Real Betis,1-1,Sevilla
La Liga,2022-2023,07.11.2022,Rayo Vallecano,3-2,Real Madrid
La Liga,2022-2023,08.11.2022,Elche,1-2,Girona
La Liga,2022-2023,08.11.2022,Ath. Bilbao,3-0,R. Valladolid
La Liga,2022-2023,08.11.2022,Osasuna,1-2,Barcelona
La Liga,2022-2023,09.11.2022,Almeria,1-0,Getafe
La Liga,2022-2023,09.11.2022,Sevilla,1-2,R. Sociedad
La Liga,2022-2023,09.11.2022,Espanyol,0-1,Villarreal
La Liga,2022-2023,09.11.2022,Mallorca,1-0,Atl. Madrid
La Liga,2022-2023,10.11.2022,Rayo Vallecano,0-0,Celta Vigo
La Liga,2022-2023,10.11.2022,Valencia,3-0,Real Betis
La Liga,2022-2023,10.11.2022,Real Madrid,2-1,Cadiz
La Liga,2022-2023,29.12.2022,Girona,2-2,Rayo Vallecano
La Liga,2022-2023,29.12.2022,Real Betis,0-0,Ath. Bilbao
La Liga,2022-2023,29.12.2022,Atl. Madrid,2-0,Elche
La Liga,2022-2023,30.12.2022,Getafe,2-0,Mallorca
La Liga,2022-2023,30.12.2022,Celta Vigo,1-1,Sevilla
La Liga,2022-2023,30.12.2022,Cadiz,1-1,Almeria
La Liga,2022-2023,30.12.2022,R. Valladolid,0-2,Real Madrid
La Liga,2022-2023,31.12.2022,Barcelona,1-1,Espanyol
La Liga,2022-2023,31.12.2022,R. Sociedad,2-0,Osasuna
La Liga,2022-2023,31.12.2022,Villarreal,2-1,Valencia
La Liga,2022-2023,06.01.2023,Elche,0-1,Celta Vigo
La Liga,2022-2023,06.01.2023,Valencia,0-1,Cadiz
La Liga,2022-2023,07.01.2023,Villarreal,2-1,Real Madrid
La Liga,2022-2023,07.01.2023,Mallorca,1-0,R. Valladolid
La Liga,2022-2023,07.01.2023,Espanyol,2-2,Girona
La Liga,2022-2023,08.01.2023,Almeria,0-2,R. Sociedad
La Liga,2022-2023,08.01.2023,Rayo Vallecano,1-2,Real Betis
La Liga,2022-2023,08.01.2023,Sevilla,2-1,Getafe
La Liga,2022-2023,08.01.2023,Atl. Madrid,0-1,Barcelona
La Liga,2022-2023,09.01.2023,Ath. Bilbao,0-0,Osasuna
La Liga,2022-2023,13.01.2023,Celta Vigo,1-1,Villarreal
La Liga,2022-2023,14.01.2023,R. Valladolid,0-1,Rayo Vallecano
La Liga,2022-2023,14.01.2023,Girona,2-1,Sevilla
La Liga,2022-2023,14.01.2023,Osasuna,1-0,Mallorca
La Liga,2022-2023,14.01.2023,R. Sociedad,3-1,Ath. Bilbao
La Liga,2022-2023,15.01.2023,Getafe,1-2,Espanyol
La Liga,2022-2023,15.01.2023,Almeria,1-1,Atl. Madrid
La Liga,2022-2023,16.01.2023,Cadiz,1-1,Elche
La Liga,2022-2023,20.01.2023,Mallorca,1-0,Celta Vigo
La Liga,2022-2023,21.01.2023,Rayo Vallecano,0-2,R. Sociedad
La Liga,2022-2023,21.01.2023,Espanyol,1-0,Real Betis
La Liga,2022-2023,21.01.2023,Atl. Madrid,3-0,R. Valladolid
La Liga,2022-2023,21.01.2023,Sevilla,1-0,Cadiz
La Liga,2022-2023,22.01.2023,Villarreal,1-0,Girona
La Liga,2022-2023,22.01.2023,Elche,1-1,Osasuna
La Liga,2022-2023,22.01.2023,Barcelona,1-0,Getafe
La Liga,2022-2023,22.01.2023,Ath. Bilbao,0-2,Real Madrid
La Liga,2022-2023,23.01.2023,Valencia,2-2,Almeria
La Liga,2022-2023,27.01.2023,Almeria,3-1,Espanyol
La Liga,2022-2023,28.01.2023,Cadiz,2-0,Mallorca
La Liga,2022-2023,28.01.2023,Girona,0-1,Barcelona
La Liga,2022-2023,28.01.2023,Sevilla,3-0,Elche
La Liga,2022-2023,28.01.2023,Getafe,0-1,Real Betis
La Liga,2022-2023,29.01.2023,R. Valladolid,1-0,Valencia
La Liga,2022-2023,29.01.2023,Osasuna,0-1,Atl. Madrid
La Liga,2022-2023,29.01.2023,Celta Vigo,1-0,Ath. Bilbao
La Liga,2022-2023,29.01.2023,Real Madrid,0-0,R. Sociedad
La Liga,2022-2023,30.01.2023,Villarreal,0-1,Rayo Vallecano
La Liga,2022-2023,01.02.2023,Real Betis,1-2,Barcelona
La Liga,2022-2023,02.02.2023,Real Madrid,2-0,Valencia
La Liga,2022-2023,03.02.2023,Ath. Bilbao,4-1,Cadiz
La Liga,2022-2023,04.02.2023,Espanyol,1-1,Osasuna
La Liga,2022-2023,04.02.2023,Elche,3-1,Villarreal
La Liga,2022-2023,04.02.2023,Atl. Madrid,1-1,Getafe
La Liga,2022-2023,04.02.2023,Real Betis,3-4,Celta Vigo
La Liga,2022-2023,05.02.2023,Mallorca,1-0,Real Madrid
La Liga,2022-2023,05.02.2023,Girona,1-0,Valencia
La Liga,2022-2023,05.02.2023,R. Sociedad,0-1,R. Valladolid
La Liga,2022-2023,05.02.2023,Barcelona,3-0,Sevilla
La Liga,2022-2023,06.02.2023,Rayo Vallecano,2-0,Almeria
La Liga,2022-2023,10.02.2023,Cadiz,2-0,Girona
La Liga,2022-2023,11.02.2023,Almeria,2-3,Real Betis
La Liga,2022-2023,11.02.2023,Sevilla,2-0,Mallorca
La Liga,2022-2023,11.02.2023,Valencia,1-2,Ath. Bilbao
La Liga,2022-2023,12.02.2023,Getafe,1-1,Rayo Vallecano
La Liga,2022-2023,12.02.2023,Celta Vigo,0-1,Atl. Madrid
La Liga,2022-2023,12.02.2023,R. Valladolid,0-0,Osasuna
La Liga,2022-2023,12.02.2023,Villarreal,0-1,Barcelona
La Liga,2022-2023,13.02.2023,Espanyol,2-3,R. Sociedad
La Liga,2022-2023,15.02.2023,Real Madrid,4-0,Elche
La Liga,2022-2023,17.02.2023,Girona,6-2,Almeria
La Liga,2022-2023,18.02.2023,R. Sociedad,1-1,Celta Vigo
La Liga,2022-2023,18.02.2023,Real Betis,2-1,R. Valladolid
La Liga,2022-2023,18.02.2023,Mallorca,4-2,Villarreal
La Liga,2022-2023,18.02.2023,Osasuna,0-2,Real Madrid
La Liga,2022-2023,19.02.2023,Elche,0-1,Espanyol
La Liga,2022-2023,19.02.2023,Rayo Vallecano,1-1,Sevilla
La Liga,2022-2023,19.02.2023,Atl. Madrid,1-0,Ath. Bilbao
La Liga,2022-2023,19.02.2023,Barcelona,2-0,Cadiz
La Liga,2022-2023,20.02.2023,Getafe,1-0,Valencia
La Liga,2022-2023,24.02.2023,Elche,2-3,Real Betis
La Liga,2022-2023,25.02.2023,Espanyol,2-1,Mallorca
La Liga,2022-2023,25.02.2023,Cadiz,1-0,Rayo Vallecano
La Liga,2022-2023,25.02.2023,Real Madrid,1-1,Atl. Madrid
La Liga,2022-2023,25.02.2023,Valencia,1-0,R. Sociedad
La Liga,2022-2023,26.02.2023,Ath. Bilbao,2-3,Girona
La Liga,2022-2023,26.02.2023,Celta Vigo,3-0,R. Valladolid
La Liga,2022-2023,26.02.2023,Almeria,1-0,Barcelona
La Liga,2022-2023,26.02.2023,Sevilla,2-3,Osasuna
La Liga,2022-2023,27.02.2023,Villarreal,2-1,Getafe
La Liga,2022-2023,03.03.2023,R. Sociedad,0-0,Cadiz
La Liga,2022-2023,04.03.2023,Getafe,3-2,Girona
La Liga,2022-2023,04.03.2023,Almeria,0-2,Villarreal
La Liga,2022-2023,04.03.2023,Mallorca,0-1,Elche
La Liga,2022-2023,04.03.2023,Atl. Madrid,6-1,Sevilla
La Liga,2022-2023,05.03.2023,R. Valladolid,2-1,Espanyol
La Liga,2022-2023,05.03.2023,Barcelona,1-0,Valencia
La Liga,2022-2023,05.03.2023,Rayo Vallecano,0-0,Ath. Bilbao
La Liga,2022-2023,05.03.2023,Real Betis,0-0,Real Madrid
La Liga,2022-2023,06.03.2023,Osasuna,0-0,Celta Vigo
La Liga,2022-2023,10.03.2023,Cadiz,2-2,Getafe
La Liga,2022-2023,11.03.2023,Real Madrid,3-1,Espanyol
La Liga,2022-2023,11.03.2023,Elche,1-1,R. Valladolid
La Liga,2022-2023,11.03.2023,Celta Vigo,3-0,Rayo Vallecano
La Liga,2022-2023,11.03.2023,Valencia,1-0,Osasuna
La Liga,2022-2023,12.03.2023,Mallorca,1-1,R. Sociedad
La Liga,2022-2023,12.03.2023,Sevilla,2-1,Almeria
La Liga,2022-2023,12.03.2023,Villarreal,1-1,Real Betis
La Liga,2022-2023,12.03.2023,Ath. Bilbao,0-1,Barcelona
La Liga,2022-2023,13.03.2023,Girona,0-1,Atl. Madrid
La Liga,2022-2023,17.03.2023,R. Valladolid,1-3,Ath. Bilbao
La Liga,2022-2023,18.03.2023,Almeria,1-1,Cadiz
La Liga,2022-2023,18.03.2023,Rayo Vallecano,2-2,Girona
La Liga,2022-2023,18.03.2023,Espanyol,1-3,Celta Vigo
La Liga,2022-2023,18.03.2023,Atl. Madrid,3-0,Valencia
La Liga,2022-2023,19.03.2023,Real Betis,1-0,Mallorca
La Liga,2022-2023,19.03.2023,Osasuna,0-3,Villarreal
La Liga,2022-2023,19.03.2023,R. Sociedad,2-0,Elche
La Liga,2022-2023,19.03.2023,Getafe,2-0,Sevilla
La Liga,2022-2023,19.03.2023,Barcelona,2-1,Real Madrid
La Liga,2022-2023,31.03.2023,Mallorca,0-0,Osasuna
La Liga,2022-2023,01.04.2023,Girona,2-1,Espanyol
La Liga,2022-2023,01.04.2023,Ath. Bilbao,0-0,Getafe
La Liga,2022-2023,01.04.2023,Cadiz,0-2,Sevilla
La Liga,2022-2023,01.04.2023,Elche,0-4,Barcelona
La Liga,2022-2023,02.04.2023,Celta Vigo,2-2,Almeria
La Liga,2022-2023,02.04.2023,Real Madrid,6-0,R. Valladolid
La Liga,2022-2023,02.04.2023,Villarreal,2-0,R. Sociedad
La Liga,2022-2023,02.04.2023,Atl. Madrid,1-0,Real Betis
La Liga,2022-2023,03.04.2023,Valencia,1-1,Rayo Vallecano
La Liga,2022-2023,07.04.2023,Sevilla,2-2,Celta Vigo
La Liga,2022-2023,08.04.2023,Osasuna,2-1,Elche
La Liga,2022-2023,08.04.2023,Espanyol,1-2,Ath. Bilbao
La Liga,2022-2023,08.04.2023,R. Sociedad,2-0,Getafe
La Liga,2022-2023,08.04.2023,Real Madrid,2-3,Villarreal
La Liga,2022-2023,09.04.2023,R. Valladolid,3-3,Mallorca
La Liga,2022-2023,09.04.2023,Real Betis,0-2,Cadiz
La Liga,2022-2023,09.04.2023,Almeria,2-1,Valencia
La Liga,2022-2023,09.04.2023,Rayo Vallecano,1-2,Atl. Madrid
La Liga,2022-2023,10.04.2023,Barcelona,0-0,Girona
La Liga,2022-2023,14.04.2023,Rayo Vallecano,2-1,Osasuna
La Liga,2022-2023,15.04.2023,Villarreal,1-2,R. Valladolid
La Liga,2022-2023,15.04.2023,Ath. Bilbao,2-0,R. Sociedad
La Liga,2022-2023,15.04.2023,Real Betis,3-1,Espanyol
La Liga,2022-2023,15.04.2023,Cadiz,0-2,Real Madrid
La Liga,2022-2023,16.04.2023,Girona,2-0,Elche
La Liga,2022-2023,16.04.2023,Getafe,0-0,Barcelona
La Liga,2022-2023,16.04.2023,Atl. Madrid,2-1,Almeria
La Liga,2022-2023,16.04.2023,Valencia,0-2,Sevilla
La Liga,2022-2023,17.04.2023,Celta Vigo,0-1,Mallorca
La Liga,2022-2023,21.04.2023,Espanyol,0-0,Cadiz
La Liga,2022-2023,22.04.2023,Osasuna,3-2,Real Betis
La Liga,2022-2023,22.04.2023,Almeria,1-2,Ath. Bilbao
La Liga,2022-2023,22.04.2023,R. Sociedad,2-1,Rayo Vallecano
La Liga,2022-2023,22.04.2023,R. Valladolid,1-0,Girona
La Liga,2022-2023,22.04.2023,Real Madrid,2-0,Celta Vigo
La Liga,2022-2023,23.04.2023,Elche,0-2,Valencia
La Liga,2022-2023,23.04.2023,Barcelona,1-0,Atl. Madrid
La Liga,2022-2023,23.04.2023,Mallorca,3-1,Getafe
La Liga,2022-2023,23.04.2023,Sevilla,2-1,Villarreal
La Liga,2022-2023,25.04.2023,Cadiz,0-1,Osasuna
La Liga,2022-2023,25.04.2023,Girona,4-2,Real Madrid
La Liga,2022-2023,25.04.2023,Real Betis,0-0,R. Sociedad
La Liga,2022-2023,26.04.2023,Atl. Madrid,3-1,Mallorca
La Liga,2022-2023,26.04.2023,Getafe,1-2,Almeria
La Liga,2022-2023,26.04.2023,Celta Vigo,1-0,Elche
La Liga,2022-2023,26.04.2023,Rayo Vallecano,2-1,Barcelona
La Liga,2022-2023,27.04.2023,Valencia,2-1,R. Valladolid
La Liga,2022-2023,27.04.2023,Villarreal,4-2,Espanyol
La Liga,2022-2023,27.04.2023,Ath. Bilbao,0-1,Sevilla
La Liga,2022-2023,28.04.2023,Osasuna,0-2,R. Sociedad
La Liga,2022-2023,29.04.2023,Elche,4-0,Rayo Vallecano
La Liga,2022-2023,29.04.2023,Real Madrid,4-2,Almeria
La Liga,2022-2023,29.04.2023,Barcelona,4-0,Real Betis
La Liga,2022-2023,30.04.2023,Cadiz,2-1,Valencia
La Liga,2022-2023,30.04.2023,Villarreal,3-1,Celta Vigo
La Liga,2022-2023,30.04.2023,Espanyol,1-0,Getafe
La Liga,2022-2023,30.04.2023,R. Valladolid,2-5,Atl. Madrid
La Liga,2022-2023,01.05.2023,Mallorca,1-1,Ath. Bilbao
La Liga,2022-2023,01.05.2023,Sevilla,0-2,Girona
La Liga,2022-2023,02.05.2023,Barcelona,1-0,Osasuna
La Liga,2022-2023,02.05.2023,Almeria,2-1,Elche
La Liga,2022-2023,02.05.2023,R. Sociedad,2-0,Real Madrid
La Liga,2022-2023,03.05.2023,Valencia,1-1,Villarreal
La Liga,2022-2023,03.05.2023,Atl. Madrid,5-1,Cadiz
La Liga,2022-2023,03.05.2023,Getafe,1-0,Celta Vigo
La Liga,2022-2023,04.05.2023,Girona,2-1,Mallorca
La Liga,2022-2023,04.05.2023,Sevilla,3-2,Espanyol
La Liga,2022-2023,04.05.2023,Ath. Bilbao,0-1,Real Betis
La Liga,2022-2023,04.05.2023,Rayo Vallecano,2-1,R. Valladolid
La Liga,2022-2023,12.05.2023,Mallorca,1-0,Cadiz
La Liga,2022-2023,13.05.2023,R. Sociedad,2-2,Girona
La Liga,2022-2023,13.05.2023,Osasuna,3-1,Almeria
La Liga,2022-2023,13.05.2023,Villarreal,5-1,Ath. Bilbao
La Liga,2022-2023,13.05.2023,Real Madrid,1-0,Getafe
La Liga,2022-2023,14.05.2023,Celta Vigo,1-2,Valencia
La Liga,2022-2023,14.05.2023,Elche,1-0,Atl. Madrid
La Liga,2022-2023,14.05.2023,R. Valladolid,0-3,Sevilla
La Liga,2022-2023,14.05.2023,Espanyol,2-4,Barcelona
La Liga,2022-2023,15.05.2023,Real Betis,3-1,Rayo Vallecano
La Liga,2022-2023,19.05.2023,Cadiz,2-0,R. Valladolid
La Liga,2022-2023,20.05.2023,Girona,1-2,Villarreal
La Liga,2022-2023,20.05.2023,Ath. Bilbao,2-1,Celta Vigo
La Liga,2022-2023,20.05.2023,Almeria,3-0,Mallorca
La Liga,2022-2023,20.05.2023,Getafe,1-1,Elche
La Liga,2022-2023,20.05.2023,Barcelona,1-2,R. Sociedad
La Liga,2022-2023,21.05.2023,Rayo Vallecano,1-2,Espanyol
La Liga,2022-2023,21.05.2023,Atl. Madrid,3-0,Osasuna
La Liga,2022-2023,21.05.2023,Valencia,1-0,Real Madrid
La Liga,2022-2023,21.05.2023,Sevilla,0-0,Real Betis
La Liga,2022-2023,23.05.2023,Celta Vigo,1-1,Girona
La Liga,2022-2023,23.05.2023,R. Sociedad,1-0,Almeria
La Liga,2022-2023,23.05.2023,R. Valladolid,3-1,Barcelona
La Liga,2022-2023,24.05.2023,Elche,1-1,Sevilla
La Liga,2022-2023,24.05.2023,Villarreal,2-0,Cadiz
La Liga,2022-2023,24.05.2023,Real Madrid,2-1,Rayo Vallecano
La Liga,2022-2023,24.05.2023,Real Betis,0-1,Getafe
La Liga,2022-2023,24.05.2023,Espanyol,3-3,Atl. Madrid
La Liga,2022-2023,25.05.2023,Mallorca,1-0,Valencia
La Liga,2022-2023,25.05.2023,Osasuna,2-0,Ath. Bilbao
La Liga,2022-2023,27.05.2023,Sevilla,1-2,Real Madrid
La Liga,2022-2023,28.05.2023,Ath. Bilbao,0-1,Elche
La Liga,2022-2023,28.05.2023,Atl. Madrid,2-1,R. Sociedad
La Liga,2022-2023,28.05.2023,Barcelona,3-0,Mallorca
La Liga,2022-2023,28.05.2023,Getafe,2-1,Osasuna
La Liga,2022-2023,28.05.2023,Cadiz,1-0,Celta Vigo
La Liga,2022-2023,28.05.2023,Rayo Vallecano,2-1,Villarreal
La Liga,2022-2023,28.05.2023,Almeria,0-0,R. Valladolid
La Liga,2022-2023,28.05.2023,Girona,1-2,Real Betis
La Liga,2022-2023,28.05.2023,Valencia,2-2,Espanyol
La Liga,2022-2023,04.06.2023,Mallorca,3-0,Rayo Vallecano
La Liga,2022-2023,04.06.2023,R. Sociedad,2-1,Sevilla
La Liga,2022-2023,04.06.2023,Real Madrid,1-1,Ath. Bilbao
La Liga,2022-2023,04.06.2023,Villarreal,2-2,Atl. Madrid
La Liga,2022-2023,04.06.2023,Osasuna,2-1,Girona
La Liga,2022-2023,04.06.2023,Real Betis,1-1,Valencia
La Liga,2022-2023,04.06.2023,Celta Vigo,2-1,Barcelona
La Liga,2022-2023,04.06.2023,R. Valladolid,0-0,Getafe
La Liga,2022-2023,04.06.2023,Elche,1-1,Cadiz
La Liga,2022-2023,04.06.2023,Espanyol,3-3,Almeria
La Liga,2023-2024,11.08.2023,Almeria,0-2,Rayo Vallecano
La Liga,2023-2024,11.08.2023,Sevilla,1-2,Valencia
La Liga,2023-2024,12.08.2023,R. Sociedad,1-1,Girona
La Liga,2023-2024,12.08.2023,Las Palmas,1-1,Mallorca
La Liga,2023-2024,12.08.2023,Ath. Bilbao,0-2,Real Madrid
La Liga,2023-2024,13.08.2023,Celta Vigo,0-2,Osasuna
La Liga,2023-2024,13.08.2023,Villarreal,1-2,Real Betis
La Liga,2023-2024,13.08.2023,Getafe,0-0,Barcelona
La Liga,2023-2024,14.08.2023,Cadiz,1-0,Alaves
La Liga,2023-2024,14.08.2023,Atl. Madrid,3-1,Granada
La Liga,2023-2024,18.08.2023,Mallorca,0-1,Villarreal
La Liga,2023-2024,18.08.2023,Valencia,1-0,Las Palmas
La Liga,2023-2024,19.08.2023,R. Sociedad,1-1,Celta Vigo
La Liga,2023-2024,19.08.2023,Almeria,1-3,Real Madrid
La Liga,2023-2024,19.08.2023,Osasuna,0-2,Ath. Bilbao
La Liga,2023-2024,20.08.2023,Girona,3-0,Getafe
La Liga,2023-2024,20.08.2023,Barcelona,2-0,Cadiz
La Liga,2023-2024,20.08.2023,Real Betis,0-0,Atl. Madrid
La Liga,2023-2024,21.08.2023,Alaves,4-3,Sevilla
La Liga,2023-2024,21.08.2023,Granada,0-2,Rayo Vallecano
La Liga,2023-2024,25.08.2023,Las Palmas,0-0,R. Sociedad
La Liga,2023-2024,25.08.2023,Celta Vigo,0-1,Real Madrid
La Liga,2023-2024,26.08.2023,Cadiz,1-1,Almeria
La Liga,2023-2024,26.08.2023,Granada,3-2,Mallorca
La Liga,2023-2024,26.08.2023,Sevilla,1-2,Girona
La Liga,2023-2024,27.08.2023,Villarreal,3-4,Barcelona
La Liga,2023-2024,27.08.2023,Valencia,1-2,Osasuna
La Liga,2023-2024,27.08.2023,Ath. Bilbao,4-2,Real Betis
La Liga,2023-2024,28.08.2023,Getafe,1-0,Alaves
La Liga,2023-2024,28.08.2023,Rayo Vallecano,0-7,Atl. Madrid
La Liga,2023-2024,01.09.2023,Cadiz,3-1,Villarreal
La Liga,2023-2024,01.09.2023,Almeria,2-3,Celta Vigo
La Liga,2023-2024,02.09.2023,R. Sociedad,5-3,Granada
La Liga,2023-2024,02.09.2023,Real Madrid,2-1,Getafe
La Liga,2023-2024,02.09.2023,Alaves,1-0,Valencia
La Liga,2023-2024,02.09.2023,Real Betis,1-0,Rayo Vallecano
La Liga,2023-2024,03.09.2023,Girona,1-0,Las Palmas
La Liga,2023-2024,03.09.2023,Mallorca,0-0,Ath. Bilbao
La Liga,2023-2024,03.09.2023,Osasuna,1-2,Barcelona
La Liga,2023-2024,15.09.2023,Rayo Vallecano,2-0,Alaves
La Liga,2023-2024,16.09.2023,Ath. Bilbao,3-0,Cadiz
La Liga,2023-2024,16.09.2023,Valencia,3-0,Atl. Madrid
La Liga,2023-2024,16.09.2023,Celta Vigo,0-1,Mallorca
La Liga,2023-2024,16.09.2023,Barcelona,5-0,Real Betis
La Liga,2023-2024,17.09.2023,Getafe,3-2,Osasuna
La Liga,2023-2024,17.09.2023,Villarreal,2-1,Almeria
La Liga,2023-2024,17.09.2023,Sevilla,1-0,Las Palmas
La Liga,2023-2024,17.09.2023,Real Madrid,2-1,R. Sociedad
La Liga,2023-2024,18.09.2023,Granada,2-4,Girona
La Liga,2023-2024,22.09.2023,Alaves,0-2,Ath. Bilbao
La Liga,2023-2024,23.09.2023,Girona,5-3,Mallorca
La Liga,2023-2024,23.09.2023,Osasuna,0-0,Sevilla
La Liga,2023-2024,23.09.2023,Barcelona,3-2,Celta Vigo
La Liga,2023-2024,23.09.2023,Almeria,2-2,Valencia
La Liga,2023-2024,24.09.2023,R. Sociedad,4-3,Getafe
La Liga,2023-2024,24.09.2023,Rayo Vallecano,1-1,Villarreal
La Liga,2023-2024,24.09.2023,Real Betis,1-1,Cadiz
La Liga,2023-2024,24.09.2023,Las Palmas,1-0,Granada
La Liga,2023-2024,24.09.2023,Atl. Madrid,3-1,Real Madrid
La Liga,2023-2024,26.09.2023,Sevilla,5-1,Almeria
La Liga,2023-2024,26.09.2023,Mallorca,2-2,Barcelona
La Liga,2023-2024,27.09.2023,Ath. Bilbao,2-2,Getafe
La Liga,2023-2024,27.09.2023,Villarreal,1-2,Girona
La Liga,2023-2024,27.09.2023,Real Madrid,2-0,Las Palmas
La Liga,2023-2024,27.09.2023,Cadiz,0-0,Rayo Vallecano
La Liga,2023-2024,27.09.2023,Valencia,0-1,R. Sociedad
La Liga,2023-2024,28.09.2023,Granada,1-1,Real Betis
La Liga,2023-2024,28.09.2023,Celta Vigo,1-1,Alaves
La Liga,2023-2024,28.09.2023,Osasuna,0-2,Atl. Madrid
La Liga,2023-2024,29.09.2023,Barcelona,1-0,Sevilla
La Liga,2023-2024,30.09.2023,Getafe,0-0,Villarreal
La Liga,2023-2024,30.09.2023,Rayo Vallecano,2-2,Mallorca
La Liga,2023-2024,30.09.2023,Girona,0-3,Real Madrid
La Liga,2023-2024,30.09.2023,R. Sociedad,3-0,Ath. Bilbao
La Liga,2023-2024,01.10.2023,Almeria,3-3,Granada
La Liga,2023-2024,01.10.2023,Alaves,0-2,Osasuna
La Liga,2023-2024,01.10.2023,Atl. Madrid,3-2,Cadiz
La Liga,2023-2024,01.10.2023,Real Betis,3-0,Valencia
La Liga,2023-2024,02.10.2023,Las Palmas,2-1,Celta Vigo
La Liga,2023-2024,06.10.2023,Ath. Bilbao,3-0,Almeria
La Liga,2023-2024,07.10.2023,Cadiz,0-1,Girona
La Liga,2023-2024,07.10.2023,Real Madrid,4-0,Osasuna
La Liga,2023-2024,07.10.2023,Mallorca,1-1,Valencia
La Liga,2023-2024,07.10.2023,Sevilla,2-2,Rayo Vallecano
La Liga,2023-2024,08.10.2023,Villarreal,1-2,Las Palmas
La Liga,2023-2024,08.10.2023,Atl. Madrid,2-1,R. Sociedad
La Liga,2023-2024,08.10.2023,Celta Vigo,2-2,Getafe
La Liga,2023-2024,08.10.2023,Alaves,1-1,Real Betis
La Liga,2023-2024,08.10.2023,Granada,2-2,Barcelona
