LeaugePlayed,Season,Date,HomeTeam,Score,AwayTeam
Süper Lig,2000-2001,11.08.2000,Kocaelispor,0-4,Fenerbahçe
Süper Lig,2000-2001,12.08.2000,Beşiktaş,3-0,Yozgatspor AŞ
Süper Lig,2000-2001,12.08.2000,Gençlerbirliği,0-0,Ç. Rizespor
Süper Lig,2000-2001,12.08.2000,Bursaspor,3-3,Gaziantepspor
Süper Lig,2000-2001,12.08.2000,Erzurumspor,1-3,Trabzonspor
Süper Lig,2000-2001,13.08.2000,İstanbulspor,1-6,Adanaspor
Süper Lig,2000-2001,13.08.2000,Siirtspor,1-2,Antalyaspor
Süper Lig,2000-2001,13.08.2000,Denizlispor,0-1,Galatasaray
Süper Lig,2000-2001,13.08.2000,Samsunspor,3-0,Ankaragücü
Süper Lig,2000-2001,18.08.2000,Antalyaspor,1-2,Beşiktaş
Süper Lig,2000-2001,19.08.2000,Ankaragücü,1-0,Kocaelispor
Süper Lig,2000-2001,19.08.2000,Yozgatspor AŞ,2-0,Denizlispor
Süper Lig,2000-2001,19.08.2000,Siirtspor,2-3,Ç. Rizespor
Süper Lig,2000-2001,19.08.2000,Galatasaray,7-0,Erzurumspor
Süper Lig,2000-2001,20.08.2000,Trabzonspor,2-1,Bursaspor
Süper Lig,2000-2001,20.08.2000,Gaziantepspor,4-0,Samsunspor
Süper Lig,2000-2001,20.08.2000,Gençlerbirliği,1-0,Adanaspor
Süper Lig,2000-2001,20.08.2000,Fenerbahçe,2-0,İstanbulspor
Süper Lig,2000-2001,25.08.2000,Samsunspor,1-1,Trabzonspor
Süper Lig,2000-2001,26.08.2000,Siirtspor,2-2,Adanaspor
Süper Lig,2000-2001,26.08.2000,Denizlispor,3-1,Erzurumspor
Süper Lig,2000-2001,26.08.2000,Gençlerbirliği,3-1,Fenerbahçe
Süper Lig,2000-2001,27.08.2000,İstanbulspor,0-2,Ankaragücü
Süper Lig,2000-2001,27.08.2000,Yozgatspor AŞ,0-0,Antalyaspor
Süper Lig,2000-2001,27.08.2000,Beşiktaş,2-1,Ç. Rizespor
Süper Lig,2000-2001,27.08.2000,Kocaelispor,1-2,Gaziantepspor
Süper Lig,2000-2001,06.09.2000,Bursaspor,0-2,Galatasaray
Süper Lig,2000-2001,08.09.2000,Adanaspor,1-1,Beşiktaş
Süper Lig,2000-2001,09.09.2000,Trabzonspor,2-1,Kocaelispor
Süper Lig,2000-2001,09.09.2000,Galatasaray,1-2,Samsunspor
Süper Lig,2000-2001,09.09.2000,Antalyaspor,4-1,Denizlispor
Süper Lig,2000-2001,09.09.2000,Ankaragücü,2-3,Gençlerbirliği
Süper Lig,2000-2001,10.09.2000,Yozgatspor AŞ,0-0,Ç. Rizespor
Süper Lig,2000-2001,10.09.2000,Gaziantepspor,0-0,İstanbulspor
Süper Lig,2000-2001,10.09.2000,Erzurumspor,5-0,Bursaspor
Süper Lig,2000-2001,10.09.2000,Fenerbahçe,4-2,Siirtspor
Süper Lig,2000-2001,15.09.2000,Kocaelispor,1-4,Galatasaray
Süper Lig,2000-2001,16.09.2000,Beşiktaş,3-0,Fenerbahçe
Süper Lig,2000-2001,16.09.2000,Denizlispor,1-1,Bursaspor
Süper Lig,2000-2001,16.09.2000,Samsunspor,2-2,Erzurumspor
Süper Lig,2000-2001,17.09.2000,Siirtspor,1-1,Ankaragücü
Süper Lig,2000-2001,17.09.2000,Yozgatspor AŞ,4-1,Adanaspor
Süper Lig,2000-2001,17.09.2000,Gençlerbirliği,2-0,Gaziantepspor
Süper Lig,2000-2001,17.09.2000,İstanbulspor,1-0,Trabzonspor
Süper Lig,2000-2001,17.09.2000,Antalyaspor,2-1,Ç. Rizespor
Süper Lig,2000-2001,22.09.2000,Ankaragücü,1-5,Beşiktaş
Süper Lig,2000-2001,23.09.2000,Gaziantepspor,4-0,Siirtspor
Süper Lig,2000-2001,23.09.2000,Galatasaray,1-1,İstanbulspor
Süper Lig,2000-2001,23.09.2000,Bursaspor,0-2,Samsunspor
Süper Lig,2000-2001,23.09.2000,Adanaspor,1-1,Antalyaspor
Süper Lig,2000-2001,24.09.2000,Fenerbahçe,3-1,Yozgatspor AŞ
Süper Lig,2000-2001,24.09.2000,Trabzonspor,2-0,Gençlerbirliği
Süper Lig,2000-2001,24.09.2000,Denizlispor,0-0,Ç. Rizespor
Süper Lig,2000-2001,24.09.2000,Erzurumspor,1-0,Kocaelispor
Süper Lig,2000-2001,29.09.2000,Denizlispor,3-1,Samsunspor
Süper Lig,2000-2001,30.09.2000,Gençlerbirliği,1-4,Galatasaray
Süper Lig,2000-2001,30.09.2000,İstanbulspor,1-0,Erzurumspor
Süper Lig,2000-2001,30.09.2000,Kocaelispor,0-0,Bursaspor
Süper Lig,2000-2001,01.10.2000,Siirtspor,1-4,Trabzonspor
Süper Lig,2000-2001,01.10.2000,Yozgatspor AŞ,0-1,Ankaragücü
Süper Lig,2000-2001,01.10.2000,Beşiktaş,2-4,Gaziantepspor
Süper Lig,2000-2001,01.10.2000,Adanaspor,1-0,Ç. Rizespor
Süper Lig,2000-2001,01.10.2000,Antalyaspor,0-1,Fenerbahçe
Süper Lig,2000-2001,13.10.2000,Adanaspor,2-3,Denizlispor
Süper Lig,2000-2001,14.10.2000,Trabzonspor,2-0,Beşiktaş
Süper Lig,2000-2001,14.10.2000,Gaziantepspor,3-1,Yozgatspor AŞ
Süper Lig,2000-2001,14.10.2000,Galatasaray,4-1,Siirtspor
Süper Lig,2000-2001,14.10.2000,Bursaspor,2-5,İstanbulspor
Süper Lig,2000-2001,15.10.2000,Ankaragücü,1-1,Antalyaspor
Süper Lig,2000-2001,15.10.2000,Fenerbahçe,1-0,Ç. Rizespor
Süper Lig,2000-2001,15.10.2000,Samsunspor,3-0,Kocaelispor
Süper Lig,2000-2001,15.10.2000,Erzurumspor,1-2,Gençlerbirliği
Süper Lig,2000-2001,19.10.2000,Antalyaspor,2-2,Gaziantepspor
Süper Lig,2000-2001,20.10.2000,Adanaspor,1-1,Fenerbahçe
Süper Lig,2000-2001,21.10.2000,Siirtspor,1-1,Erzurumspor
Süper Lig,2000-2001,21.10.2000,Gençlerbirliği,0-1,Bursaspor
Süper Lig,2000-2001,21.10.2000,Yozgatspor AŞ,1-1,Trabzonspor
Süper Lig,2000-2001,21.10.2000,Denizlispor,2-1,Kocaelispor
Süper Lig,2000-2001,21.10.2000,İstanbulspor,0-0,Samsunspor
Süper Lig,2000-2001,21.10.2000,Beşiktaş,3-1,Galatasaray
Süper Lig,2000-2001,21.10.2000,Ç. Rizespor,1-1,Ankaragücü
Süper Lig,2000-2001,27.10.2000,Fenerbahçe,5-2,Denizlispor
Süper Lig,2000-2001,28.10.2000,Trabzonspor,4-0,Antalyaspor
Süper Lig,2000-2001,28.10.2000,Ankaragücü,4-0,Adanaspor
Süper Lig,2000-2001,28.10.2000,Bursaspor,3-2,Siirtspor
Süper Lig,2000-2001,28.10.2000,Erzurumspor,1-3,Beşiktaş
Süper Lig,2000-2001,29.10.2000,Gaziantepspor,2-1,Ç. Rizespor
Süper Lig,2000-2001,29.10.2000,Samsunspor,1-2,Gençlerbirliği
Süper Lig,2000-2001,29.10.2000,Kocaelispor,1-1,İstanbulspor
Süper Lig,2000-2001,29.10.2000,Galatasaray,3-0,Yozgatspor AŞ
Süper Lig,2000-2001,03.11.2000,Ç. Rizespor,2-1,Trabzonspor
Süper Lig,2000-2001,04.11.2000,Gençlerbirliği,0-0,Kocaelispor
Süper Lig,2000-2001,04.11.2000,Denizlispor,0-4,İstanbulspor
Süper Lig,2000-2001,04.11.2000,Beşiktaş,2-1,Bursaspor
Süper Lig,2000-2001,05.11.2000,Siirtspor,1-2,Samsunspor
Süper Lig,2000-2001,05.11.2000,Adanaspor,0-1,Gaziantepspor
Süper Lig,2000-2001,05.11.2000,Yozgatspor AŞ,4-0,Erzurumspor
Süper Lig,2000-2001,05.11.2000,Fenerbahçe,5-1,Ankaragücü
Süper Lig,2000-2001,10.11.2000,Gaziantepspor,2-1,Fenerbahçe
Süper Lig,2000-2001,11.11.2000,Erzurumspor,0-1,Antalyaspor
Süper Lig,2000-2001,11.11.2000,İstanbulspor,2-1,Gençlerbirliği
Süper Lig,2000-2001,11.11.2000,Bursaspor,1-4,Yozgatspor AŞ
Süper Lig,2000-2001,11.11.2000,Galatasaray,2-0,Ç. Rizespor
Süper Lig,2000-2001,12.11.2000,Trabzonspor,3-3,Adanaspor
Süper Lig,2000-2001,12.11.2000,Ankaragücü,3-1,Denizlispor
Süper Lig,2000-2001,12.11.2000,Kocaelispor,1-1,Siirtspor
Süper Lig,2000-2001,12.11.2000,Samsunspor,2-3,Beşiktaş
Süper Lig,2000-2001,17.11.2000,Beşiktaş,3-2,Kocaelispor
Süper Lig,2000-2001,18.11.2000,Ç. Rizespor,4-1,Erzurumspor
Süper Lig,2000-2001,18.11.2000,Siirtspor,0-2,İstanbulspor
Süper Lig,2000-2001,18.11.2000,Ankaragücü,1-1,Gaziantepspor
Süper Lig,2000-2001,18.11.2000,Adanaspor,1-2,Galatasaray
Süper Lig,2000-2001,19.11.2000,Yozgatspor AŞ,0-0,Samsunspor
Süper Lig,2000-2001,19.11.2000,Denizlispor,0-0,Gençlerbirliği
Süper Lig,2000-2001,19.11.2000,Antalyaspor,2-1,Bursaspor
Süper Lig,2000-2001,19.11.2000,Fenerbahçe,5-2,Trabzonspor
Süper Lig,2000-2001,24.11.2000,Trabzonspor,2-2,Ankaragücü
Süper Lig,2000-2001,25.11.2000,Erzurumspor,2-0,Adanaspor
Süper Lig,2000-2001,25.11.2000,Samsunspor,4-2,Antalyaspor
Süper Lig,2000-2001,25.11.2000,İstanbulspor,2-3,Beşiktaş
Süper Lig,2000-2001,26.11.2000,Gaziantepspor,1-1,Denizlispor
Süper Lig,2000-2001,26.11.2000,Gençlerbirliği,2-0,Siirtspor
Süper Lig,2000-2001,26.11.2000,Bursaspor,2-1,Ç. Rizespor
Süper Lig,2000-2001,26.11.2000,Kocaelispor,2-2,Yozgatspor AŞ
Süper Lig,2000-2001,26.11.2000,Galatasaray,0-0,Fenerbahçe
Süper Lig,2000-2001,01.12.2000,Ankaragücü,1-3,Galatasaray
Süper Lig,2000-2001,02.12.2000,Trabzonspor,3-1,Gaziantepspor
Süper Lig,2000-2001,02.12.2000,Yozgatspor AŞ,3-0,İstanbulspor
Süper Lig,2000-2001,02.12.2000,Antalyaspor,2-2,Kocaelispor
Süper Lig,2000-2001,02.12.2000,Beşiktaş,0-3,Gençlerbirliği
Süper Lig,2000-2001,03.12.2000,Ç. Rizespor,0-1,Samsunspor
Süper Lig,2000-2001,03.12.2000,Siirtspor,1-1,Denizlispor
Süper Lig,2000-2001,03.12.2000,Adanaspor,1-1,Bursaspor
Süper Lig,2000-2001,03.12.2000,Fenerbahçe,4-2,Erzurumspor
Süper Lig,2000-2001,08.12.2000,Denizlispor,2-0,Trabzonspor
Süper Lig,2000-2001,09.12.2000,Samsunspor,3-1,Adanaspor
Süper Lig,2000-2001,09.12.2000,İstanbulspor,2-0,Antalyaspor
Süper Lig,2000-2001,09.12.2000,Kocaelispor,2-1,Ç. Rizespor
Süper Lig,2000-2001,09.12.2000,Bursaspor,2-2,Fenerbahçe
Süper Lig,2000-2001,10.12.2000,Siirtspor,1-1,Beşiktaş
Süper Lig,2000-2001,10.12.2000,Erzurumspor,1-1,Ankaragücü
Süper Lig,2000-2001,10.12.2000,Gençlerbirliği,2-1,Yozgatspor AŞ
Süper Lig,2000-2001,10.12.2000,Galatasaray,2-0,Gaziantepspor
Süper Lig,2000-2001,15.12.2000,Fenerbahçe,2-1,Samsunspor
Süper Lig,2000-2001,16.12.2000,Ç. Rizespor,2-1,İstanbulspor
Süper Lig,2000-2001,16.12.2000,Gaziantepspor,6-1,Erzurumspor
Süper Lig,2000-2001,16.12.2000,Yozgatspor AŞ,2-1,Siirtspor
Süper Lig,2000-2001,16.12.2000,Beşiktaş,1-1,Denizlispor
Süper Lig,2000-2001,17.12.2000,Ankaragücü,1-1,Bursaspor
Süper Lig,2000-2001,17.12.2000,Adanaspor,4-4,Kocaelispor
Süper Lig,2000-2001,17.12.2000,Antalyaspor,4-2,Gençlerbirliği
Süper Lig,2000-2001,17.12.2000,Trabzonspor,1-1,Galatasaray
Süper Lig,2000-2001,20.12.2000,Antalyaspor,0-1,Galatasaray
Süper Lig,2000-2001,21.12.2000,Trabzonspor,3-0,Erzurumspor
Süper Lig,2000-2001,22.12.2000,Ç. Rizespor,2-0,Gençlerbirliği
Süper Lig,2000-2001,22.12.2000,Ankaragücü,2-0,Samsunspor
Süper Lig,2000-2001,22.12.2000,Adanaspor,2-2,İstanbulspor
Süper Lig,2000-2001,22.12.2000,Fenerbahçe,4-0,Kocaelispor
Süper Lig,2000-2001,23.12.2000,Gaziantepspor,2-1,Bursaspor
Süper Lig,2000-2001,23.12.2000,Yozgatspor AŞ,1-1,Beşiktaş
Süper Lig,2000-2001,23.12.2000,Antalyaspor,1-3,Siirtspor
Süper Lig,2000-2001,23.12.2000,Galatasaray,1-2,Denizlispor
Süper Lig,2000-2001,02.02.2001,Samsunspor,3-3,Gaziantepspor
Süper Lig,2000-2001,03.02.2001,Denizlispor,2-0,Yozgatspor AŞ
Süper Lig,2000-2001,03.02.2001,Ç. Rizespor,3-0,Siirtspor
Süper Lig,2000-2001,03.02.2001,Erzurumspor,1-2,Galatasaray
Süper Lig,2000-2001,03.02.2001,Beşiktaş,4-2,Antalyaspor
Süper Lig,2000-2001,04.02.2001,Bursaspor,4-2,Trabzonspor
Süper Lig,2000-2001,04.02.2001,Adanaspor,2-3,Gençlerbirliği
Süper Lig,2000-2001,04.02.2001,Kocaelispor,4-0,Ankaragücü
Süper Lig,2000-2001,04.02.2001,İstanbulspor,1-2,Fenerbahçe
Süper Lig,2000-2001,09.02.2001,Trabzonspor,3-2,Samsunspor
Süper Lig,2000-2001,10.02.2001,Ankaragücü,1-1,İstanbulspor
Süper Lig,2000-2001,10.02.2001,Adanaspor,0-2,Siirtspor
Süper Lig,2000-2001,10.02.2001,Galatasaray,2-1,Bursaspor
Süper Lig,2000-2001,11.02.2001,Gaziantepspor,0-0,Kocaelispor
Süper Lig,2000-2001,11.02.2001,Antalyaspor,1-1,Yozgatspor AŞ
Süper Lig,2000-2001,11.02.2001,Erzurumspor,2-2,Denizlispor
Süper Lig,2000-2001,11.02.2001,Ç. Rizespor,5-1,Beşiktaş
Süper Lig,2000-2001,11.02.2001,Fenerbahçe,3-0,Gençlerbirliği
Süper Lig,2000-2001,16.02.2001,İstanbulspor,0-1,Gaziantepspor
Süper Lig,2000-2001,17.02.2001,Denizlispor,1-1,Antalyaspor
Süper Lig,2000-2001,17.02.2001,Siirtspor,0-4,Fenerbahçe
Süper Lig,2000-2001,17.02.2001,Samsunspor,1-1,Galatasaray
Süper Lig,2000-2001,18.02.2001,Gençlerbirliği,3-4,Ankaragücü
Süper Lig,2000-2001,18.02.2001,Ç. Rizespor,1-0,Yozgatspor AŞ
Süper Lig,2000-2001,18.02.2001,Bursaspor,6-0,Erzurumspor
Süper Lig,2000-2001,18.02.2001,Kocaelispor,3-2,Trabzonspor
Süper Lig,2000-2001,18.02.2001,Beşiktaş,2-1,Adanaspor
Süper Lig,2000-2001,23.02.2001,Gaziantepspor,1-0,Gençlerbirliği
Süper Lig,2000-2001,24.02.2001,Ankaragücü,4-1,Siirtspor
Süper Lig,2000-2001,24.02.2001,Ç. Rizespor,0-2,Antalyaspor
Süper Lig,2000-2001,24.02.2001,Fenerbahçe,3-1,Beşiktaş
Süper Lig,2000-2001,25.02.2001,Trabzonspor,1-2,İstanbulspor
Süper Lig,2000-2001,25.02.2001,Bursaspor,2-1,Denizlispor
Süper Lig,2000-2001,25.02.2001,Adanaspor,3-3,Yozgatspor AŞ
Süper Lig,2000-2001,25.02.2001,Erzurumspor,1-2,Samsunspor
Süper Lig,2000-2001,25.02.2001,Galatasaray,2-3,Kocaelispor
Süper Lig,2000-2001,02.03.2001,Gençlerbirliği,0-2,Trabzonspor
Süper Lig,2000-2001,03.03.2001,Antalyaspor,2-1,Adanaspor
Süper Lig,2000-2001,03.03.2001,Yozgatspor AŞ,2-3,Fenerbahçe
Süper Lig,2000-2001,03.03.2001,Siirtspor,1-2,Gaziantepspor
Süper Lig,2000-2001,03.03.2001,Samsunspor,2-0,Bursaspor
Süper Lig,2000-2001,04.03.2001,Ç. Rizespor,2-1,Denizlispor
Süper Lig,2000-2001,04.03.2001,Kocaelispor,1-0,Erzurumspor
Süper Lig,2000-2001,04.03.2001,Beşiktaş,4-0,Ankaragücü
Süper Lig,2000-2001,09.03.2001,Gaziantepspor,3-1,Beşiktaş
Süper Lig,2000-2001,10.03.2001,Samsunspor,2-1,Denizlispor
Süper Lig,2000-2001,10.03.2001,Bursaspor,1-1,Kocaelispor
Süper Lig,2000-2001,10.03.2001,Erzurumspor,1-3,İstanbulspor
Süper Lig,2000-2001,10.03.2001,Galatasaray,2-1,Gençlerbirliği
Süper Lig,2000-2001,11.03.2001,Trabzonspor,2-4,Siirtspor
Süper Lig,2000-2001,11.03.2001,Ankaragücü,4-0,Yozgatspor AŞ
Süper Lig,2000-2001,11.03.2001,Ç. Rizespor,4-2,Adanaspor
Süper Lig,2000-2001,11.03.2001,Fenerbahçe,2-1,Antalyaspor
Süper Lig,2000-2001,16.03.2001,Kocaelispor,1-0,Samsunspor
Süper Lig,2000-2001,17.03.2001,Gençlerbirliği,1-2,Erzurumspor
Süper Lig,2000-2001,17.03.2001,İstanbulspor,2-4,Bursaspor
Süper Lig,2000-2001,17.03.2001,Antalyaspor,3-4,Ankaragücü
Süper Lig,2000-2001,17.03.2001,Ç. Rizespor,1-1,Fenerbahçe
Süper Lig,2000-2001,18.03.2001,Denizlispor,4-2,Adanaspor
Süper Lig,2000-2001,18.03.2001,Yozgatspor AŞ,1-2,Gaziantepspor
Süper Lig,2000-2001,18.03.2001,Siirtspor,0-1,Galatasaray
Süper Lig,2000-2001,18.03.2001,Beşiktaş,3-1,Trabzonspor
Süper Lig,2000-2001,30.03.2001,Kocaelispor,4-2,Denizlispor
Süper Lig,2000-2001,31.03.2001,Ankaragücü,4-0,Ç. Rizespor
Süper Lig,2000-2001,31.03.2001,Bursaspor,2-0,Gençlerbirliği
Süper Lig,2000-2001,31.03.2001,Erzurumspor,2-1,Siirtspor
Süper Lig,2000-2001,31.03.2001,Galatasaray,2-0,Beşiktaş
Süper Lig,2000-2001,01.04.2001,Trabzonspor,1-1,Yozgatspor AŞ
Süper Lig,2000-2001,01.04.2001,Gaziantepspor,2-0,Antalyaspor
Süper Lig,2000-2001,01.04.2001,Samsunspor,2-3,İstanbulspor
Süper Lig,2000-2001,01.04.2001,Fenerbahçe,4-0,Adanaspor
Süper Lig,2000-2001,06.04.2001,Ç. Rizespor,2-1,Gaziantepspor
Süper Lig,2000-2001,07.04.2001,Gençlerbirliği,1-0,Samsunspor
Süper Lig,2000-2001,07.04.2001,Adanaspor,1-3,Ankaragücü
Süper Lig,2000-2001,07.04.2001,Antalyaspor,2-3,Trabzonspor
Süper Lig,2000-2001,07.04.2001,Denizlispor,2-1,Fenerbahçe
Süper Lig,2000-2001,08.04.2001,İstanbulspor,1-1,Kocaelispor
Süper Lig,2000-2001,08.04.2001,Yozgatspor AŞ,4-2,Galatasaray
Süper Lig,2000-2001,08.04.2001,Siirtspor,2-5,Bursaspor
Süper Lig,2000-2001,08.04.2001,Beşiktaş,2-0,Erzurumspor
Süper Lig,2000-2001,11.04.2001,İstanbulspor,3-5,Galatasaray
Süper Lig,2000-2001,13.04.2001,Bursaspor,0-1,Beşiktaş
Süper Lig,2000-2001,14.04.2001,Samsunspor,4-3,Siirtspor
Süper Lig,2000-2001,14.04.2001,İstanbulspor,1-3,Denizlispor
Süper Lig,2000-2001,14.04.2001,Galatasaray,2-0,Antalyaspor
Süper Lig,2000-2001,15.04.2001,Trabzonspor,2-0,Ç. Rizespor
Süper Lig,2000-2001,15.04.2001,Gaziantepspor,3-0,Adanaspor
Süper Lig,2000-2001,15.04.2001,Kocaelispor,4-1,Gençlerbirliği
Süper Lig,2000-2001,15.04.2001,Erzurumspor,1-2,Yozgatspor AŞ
Süper Lig,2000-2001,15.04.2001,Ankaragücü,2-1,Fenerbahçe
Süper Lig,2000-2001,20.04.2001,Beşiktaş,0-0,Samsunspor
Süper Lig,2000-2001,21.04.2001,Denizlispor,2-0,Ankaragücü
Süper Lig,2000-2001,21.04.2001,Adanaspor,1-7,Trabzonspor
Süper Lig,2000-2001,21.04.2001,Fenerbahçe,4-3,Gaziantepspor
Süper Lig,2000-2001,22.04.2001,Gençlerbirliği,3-0,İstanbulspor
Süper Lig,2000-2001,22.04.2001,Antalyaspor,1-0,Erzurumspor
Süper Lig,2000-2001,22.04.2001,Yozgatspor AŞ,1-0,Bursaspor
Süper Lig,2000-2001,22.04.2001,Siirtspor,4-3,Kocaelispor
Süper Lig,2000-2001,22.04.2001,Ç. Rizespor,2-4,Galatasaray
Süper Lig,2000-2001,27.04.2001,Gaziantepspor,2-1,Ankaragücü
Süper Lig,2000-2001,28.04.2001,İstanbulspor,2-1,Siirtspor
Süper Lig,2000-2001,28.04.2001,Kocaelispor,1-1,Beşiktaş
Süper Lig,2000-2001,28.04.2001,Erzurumspor,0-0,Ç. Rizespor
Süper Lig,2000-2001,28.04.2001,Galatasaray,4-1,Adanaspor
Süper Lig,2000-2001,29.04.2001,Gençlerbirliği,2-4,Denizlispor
Süper Lig,2000-2001,29.04.2001,Samsunspor,0-2,Yozgatspor AŞ
Süper Lig,2000-2001,29.04.2001,Bursaspor,4-0,Antalyaspor
Süper Lig,2000-2001,29.04.2001,Trabzonspor,1-0,Fenerbahçe
Süper Lig,2000-2001,04.05.2001,Ankaragücü,2-4,Trabzonspor
Süper Lig,2000-2001,05.05.2001,Antalyaspor,2-2,Samsunspor
Süper Lig,2000-2001,05.05.2001,Adanaspor,3-3,Erzurumspor
Süper Lig,2000-2001,05.05.2001,Yozgatspor AŞ,4-2,Kocaelispor
Süper Lig,2000-2001,05.05.2001,Beşiktaş,2-0,İstanbulspor
Süper Lig,2000-2001,06.05.2001,Siirtspor,3-0,Gençlerbirliği
Süper Lig,2000-2001,06.05.2001,Denizlispor,2-3,Gaziantepspor
Süper Lig,2000-2001,06.05.2001,Ç. Rizespor,3-1,Bursaspor
Süper Lig,2000-2001,06.05.2001,Fenerbahçe,2-1,Galatasaray
Süper Lig,2000-2001,12.05.2001,İstanbulspor,0-4,Yozgatspor AŞ
Süper Lig,2000-2001,12.05.2001,Denizlispor,1-2,Siirtspor
Süper Lig,2000-2001,12.05.2001,Samsunspor,1-1,Ç. Rizespor
Süper Lig,2000-2001,12.05.2001,Bursaspor,2-1,Adanaspor
Süper Lig,2000-2001,12.05.2001,Kocaelispor,5-0,Antalyaspor
Süper Lig,2000-2001,13.05.2001,Gaziantepspor,1-1,Trabzonspor
Süper Lig,2000-2001,13.05.2001,Galatasaray,1-2,Ankaragücü
Süper Lig,2000-2001,13.05.2001,Gençlerbirliği,2-1,Beşiktaş
Süper Lig,2000-2001,13.05.2001,Erzurumspor,1-2,Fenerbahçe
Süper Lig,2000-2001,19.05.2001,Yozgatspor AŞ,1-1,Gençlerbirliği
Süper Lig,2000-2001,19.05.2001,Antalyaspor,2-2,İstanbulspor
Süper Lig,2000-2001,19.05.2001,Beşiktaş,5-1,Siirtspor
Süper Lig,2000-2001,19.05.2001,Ankaragücü,5-2,Erzurumspor
Süper Lig,2000-2001,19.05.2001,Ç. Rizespor,2-1,Kocaelispor
Süper Lig,2000-2001,19.05.2001,Adanaspor,3-5,Samsunspor
Süper Lig,2000-2001,20.05.2001,Trabzonspor,1-0,Denizlispor
Süper Lig,2000-2001,20.05.2001,Gaziantepspor,0-2,Galatasaray
Süper Lig,2000-2001,20.05.2001,Fenerbahçe,2-0,Bursaspor
Süper Lig,2000-2001,25.05.2001,İstanbulspor,1-0,Ç. Rizespor
Süper Lig,2000-2001,25.05.2001,Bursaspor,2-3,Ankaragücü
Süper Lig,2000-2001,25.05.2001,Denizlispor,2-2,Beşiktaş
Süper Lig,2000-2001,25.05.2001,Erzurumspor,0-2,Gaziantepspor
Süper Lig,2000-2001,26.05.2001,Siirtspor,1-3,Yozgatspor AŞ
Süper Lig,2000-2001,26.05.2001,Gençlerbirliği,2-1,Antalyaspor
Süper Lig,2000-2001,26.05.2001,Kocaelispor,4-3,Adanaspor
Süper Lig,2000-2001,26.05.2001,Samsunspor,1-3,Fenerbahçe
Süper Lig,2000-2001,26.05.2001,Galatasaray,4-0,Trabzonspor
Süper Lig,2001-2002,10.08.2001,Beşiktaş,1-2,Trabzonspor
Süper Lig,2001-2002,11.08.2001,Göztepe,2-0,Bursaspor
Süper Lig,2001-2002,11.08.2001,Fenerbahçe,3-0,Samsunspor
Süper Lig,2001-2002,11.08.2001,Gençlerbirliği,4-4,Diyarbakırspor
Süper Lig,2001-2002,11.08.2001,Ç. Rizespor,0-0,Kocaelispor
Süper Lig,2001-2002,12.08.2001,İstanbulspor,1-0,Malatyaspor
Süper Lig,2001-2002,12.08.2001,Denizlispor,5-0,Yozgatspor AŞ
Süper Lig,2001-2002,12.08.2001,Gaziantepspor,1-1,Galatasaray
Süper Lig,2001-2002,12.08.2001,Antalyaspor,1-8,Ankaragücü
Süper Lig,2001-2002,17.08.2001,Bursaspor,2-2,Beşiktaş
Süper Lig,2001-2002,18.08.2001,Galatasaray,1-0,Denizlispor
Süper Lig,2001-2002,18.08.2001,Gençlerbirliği,2-2,Samsunspor
Süper Lig,2001-2002,18.08.2001,Diyarbakırspor,1-2,Göztepe
Süper Lig,2001-2002,18.08.2001,Kocaelispor,3-1,Antalyaspor
Süper Lig,2001-2002,19.08.2001,İstanbulspor,1-0,Fenerbahçe
Süper Lig,2001-2002,19.08.2001,Yozgatspor AŞ,2-1,Ç. Rizespor
Süper Lig,2001-2002,19.08.2001,Trabzonspor,2-1,Gaziantepspor
Süper Lig,2001-2002,19.08.2001,Ankaragücü,6-0,Malatyaspor
Süper Lig,2001-2002,24.08.2001,Trabzonspor,5-0,Bursaspor
Süper Lig,2001-2002,25.08.2001,Göztepe,2-1,Samsunspor
Süper Lig,2001-2002,25.08.2001,Beşiktaş,4-0,Diyarbakırspor
Süper Lig,2001-2002,25.08.2001,Gençlerbirliği,0-1,İstanbulspor
Süper Lig,2001-2002,25.08.2001,Antalyaspor,3-3,Yozgatspor AŞ
Süper Lig,2001-2002,26.08.2001,Fenerbahçe,4-1,Ankaragücü
Süper Lig,2001-2002,26.08.2001,Gaziantepspor,0-0,Denizlispor
Süper Lig,2001-2002,26.08.2001,Ç. Rizespor,3-6,Galatasaray
Süper Lig,2001-2002,26.08.2001,Kocaelispor,2-0,Malatyaspor
Süper Lig,2001-2002,07.09.2001,Ankaragücü,2-5,Gençlerbirliği
Süper Lig,2001-2002,08.09.2001,Galatasaray,2-1,Antalyaspor
Süper Lig,2001-2002,08.09.2001,Diyarbakırspor,3-1,Trabzonspor
Süper Lig,2001-2002,08.09.2001,Bursaspor,0-2,Gaziantepspor
Süper Lig,2001-2002,08.09.2001,Kocaelispor,3-3,Fenerbahçe
Süper Lig,2001-2002,09.09.2001,Yozgatspor AŞ,3-0,Malatyaspor
Süper Lig,2001-2002,09.09.2001,İstanbulspor,0-0,Göztepe
Süper Lig,2001-2002,09.09.2001,Denizlispor,1-2,Ç. Rizespor
Süper Lig,2001-2002,14.09.2001,Beşiktaş,0-1,İstanbulspor
Süper Lig,2001-2002,15.09.2001,Malatyaspor,0-2,Galatasaray
Süper Lig,2001-2002,15.09.2001,Fenerbahçe,1-0,Yozgatspor AŞ
Süper Lig,2001-2002,15.09.2001,Bursaspor,2-1,Diyarbakırspor
