Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2000-2001,20.04.2001,B. Dortmund       5,0     Bochum
2000-2001,21.04.2001,Werder Bremen       2,3     Wolfsburg
2000-2001,22.04.2001,Freiburg       5,2     Kaiserslautern
2000-2001,27.04.2001,Wolfsburg       1,1     B. Dortmund
2000-2001,28.04.2001,Bayern Münih       1,0     Freiburg
2000-2001,29.04.2001,Hamburg       2,1     H. Rostock
2000-2001,04.05.2001,B. Dortmund       0,0     Stuttgart
2000-2001,05.05.2001,B. Leverkusen       0,1     Bayern Münih
2000-2001,06.05.2001,Werder Bremen       0,0     Unterhaching
2000-2001,12.05.2001,Bayern Münih       2,1     Kaiserslautern
2000-2001,19.05.2001,Werder Bremen       3,0     H. Rostock
2001-2002,28.07.2001,Stuttgart       0,0     Köln
2001-2002,29.07.2001,St. Pauli       0,0     Hertha Berlin
2001-2002,04.08.2001,Werder Bremen       3,2     E. Cottbus
2001-2002,05.08.2001,Kaiserslautern       3,2     M'gladbach
2001-2002,11.08.2001,Stuttgart       0,0     Werder Bremen
2001-2002,12.08.2001,M'gladbach       0,0     Schalke 04
2001-2002,18.08.2001,Werder Bremen       1,3     1860 München
2001-2002,19.08.2001,Hertha Berlin       2,3     E. Cottbus
2001-2002,21.08.2001,Schalke 04       3,1     H. Rostock
2001-2002,08.09.2001,Stuttgart       0,0     Hertha Berlin
2001-2002,09.09.2001,Kaiserslautern       2,1     Werder Bremen
2001-2002,15.09.2001,Werder Bremen       1,1     Köln
2001-2002,16.09.2001,H. Rostock       0,0     E. Cottbus
2001-2002,22.09.2001,Stuttgart       2,1     H. Rostock
2001-2002,23.09.2001,M'gladbach       2,2     St. Pauli
2001-2002,29.09.2001,Werder Bremen       1,0     M'gladbach
2001-2002,30.09.2001,Bayern Münih       4,0     Stuttgart
2001-2002,13.10.2001,Stuttgart       3,0     Schalke 04
2001-2002,14.10.2001,Werder Bremen       3,0     Nürnberg
2001-2002,20.10.2001,Bayern Münih       4,1     Kaiserslautern
2001-2002,21.10.2001,B. Dortmund       0,2     Freiburg
2001-2002,27.10.2001,Werder Bremen       1,0     Wolfsburg
2001-2002,28.10.2001,Hamburg       0,1     H. Rostock
2001-2002,03.11.2001,Bayern Münih       3,0     Hamburg
2001-2002,04.11.2001,Freiburg       3,1     E. Cottbus
2001-2002,17.11.2001,Werder Bremen       1,0     Bayern Münih
2001-2002,18.11.2001,M'gladbach       0,0     E. Cottbus
2001-2002,24.11.2001,Bayern Münih       0,0     Nürnberg
2001-2002,25.11.2001,B. Dortmund       3,0     Kaiserslautern
2001-2002,01.12.2001,Werder Bremen       2,1     B. Leverkusen
2001-2002,02.12.2001,Hamburg       4,3     St. Pauli
2001-2002,08.12.2001,Bayern Münih       3,3     Wolfsburg
2001-2002,09.12.2001,Schalke 04       0,0     Hertha Berlin
2001-2002,15.12.2001,Werder Bremen       1,1     B. Dortmund
2001-2002,16.12.2001,Wolfsburg       3,1     Schalke 04
2001-2002,18.12.2001,Werder Bremen       3,2     Freiburg
2001-2002,19.12.2001,Wolfsburg       3,1     B. Leverkusen
2001-2002,26.01.2002,Stuttgart       3,0     Hamburg
2001-2002,27.01.2002,B. Dortmund       3,1     Hertha Berlin
2001-2002,02.02.2002,Werder Bremen       1,2     Stuttgart
2001-2002,03.02.2002,Bayern Münih       2,0     B. Leverkusen
2001-2002,05.02.2002,Stuttgart       2,3     Nürnberg
2001-2002,06.02.2002,B. Leverkusen       0,1     Schalke 04
2001-2002,09.02.2002,Werder Bremen       1,0     Kaiserslautern
2001-2002,10.02.2002,Hamburg       4,0     Köln
2001-2002,16.02.2002,Stuttgart       2,1     Wolfsburg
2001-2002,17.02.2002,Köln       0,0     Werder Bremen
2001-2002,23.02.2002,Bayern Münih       6,0     E. Cottbus
2001-2002,24.02.2002,Werder Bremen       0,1     Hamburg
2001-2002,02.03.2002,Stuttgart       0,2     Bayern Münih
2001-2002,03.03.2002,B. Dortmund       1,1     St. Pauli
2001-2002,09.03.2002,Bayern Münih       2,1     1860 München
2001-2002,10.03.2002,Schalke 04       2,1     Stuttgart
2001-2002,16.03.2002,Werder Bremen       0,3     Hertha Berlin
2001-2002,17.03.2002,Freiburg       1,5     B. Dortmund
2001-2002,23.03.2002,Bayern Münih       3,0     Köln
2001-2002,24.03.2002,B. Dortmund       3,0     E. Cottbus
2001-2002,30.03.2002,Stuttgart       3,2     B. Dortmund
2001-2002,31.03.2002,Werder Bremen       4,3     H. Rostock
2001-2002,06.04.2002,Bayern Münih       2,2     Werder Bremen
2001-2002,07.04.2002,B. Dortmund       2,1     1860 München
2001-2002,13.04.2002,Werder Bremen       3,0     Schalke 04
2001-2002,14.04.2002,Stuttgart       0,0     E. Cottbus
2001-2002,19.04.2002,St. Pauli       0,4     Hamburg
2001-2002,20.04.2002,Bayern Münih       3,0     Hertha Berlin
2001-2002,21.04.2002,Freiburg       3,1     Kaiserslautern
2001-2002,27.04.2002,Werder Bremen       3,2     St. Pauli
2001-2002,04.05.2002,Bayern Münih       3,2     H. Rostock
2002-2003,09.08.2002,B. Dortmund       2,2     Hertha Berlin
2002-2003,10.08.2002,Stuttgart       1,1     Kaiserslautern
2002-2003,11.08.2002,Hamburg       2,1     Hannover 96
