Serie A
Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2015-2016,06.01.2016,Udinese       2,-,1     Atalanta
2015-2016,09.01.2016,Carpi       2,-,1     Udinese
2015-2016,10.01.2016,Inter       0,-,1     Sassuolo
2015-2016,16.01.2016,Atalanta       1,-,1     Inter
2015-2016,17.01.2016,Genoa       4,-,0     Palermo
2015-2016,20.01.2016,Sassuolo       1,-,1     Torino
2015-2016,23.01.2016,Frosinone       0,-,0     Atalanta
2015-2016,24.01.2016,Fiorentina       2,-,0     Torino
2015-2016,30.01.2016,Carpi       1,-,1     Palermo
2015-2016,31.01.2016,Chievo       0,-,4     Juventus
2015-2016,02.02.2016,Sassuolo       0,-,2     Roma
2015-2016,03.02.2016,Frosinone       1,-,0     Bologna
2015-2016,06.02.2016,Bologna       1,-,1     Fiorentina
2015-2016,07.02.2016,Hellas Verona       3,-,3     Inter
2015-2016,11.02.2016,Lazio       5,-,2     Hellas Verona
2015-2016,12.02.2016,Carpi       1,-,3     Roma
2015-2016,13.02.2016,Empoli       1,-,2     Frosinone
2015-2016,14.02.2016,Milan       2,-,1     Genoa
2015-2016,19.02.2016,Bologna       0,-,0     Juventus
2015-2016,20.02.2016,Hellas Verona       3,-,1     Chievo
2015-2016,21.02.2016,Torino       0,-,0     Carpi
2015-2016,22.02.2016,Napoli       1,-,1     Milan
2015-2016,27.02.2016,Empoli       1,-,3     Roma
2015-2016,28.02.2016,Palermo       0,-,0     Bologna
2015-2016,29.02.2016,Lazio       0,-,2     Sassuolo
2015-2016,04.03.2016,Roma       4,-,1     Fiorentina
2015-2016,05.03.2016,Hellas Verona       0,-,3     Sampdoria
2015-2016,06.03.2016,Torino       1,-,1     Lazio
2015-2016,11.03.2016,Juventus       1,-,0     Sassuolo
2015-2016,12.03.2016,Empoli       1,-,1     Sampdoria
2015-2016,13.03.2016,Chievo       0,-,0     Milan
2015-2016,19.03.2016,Empoli       0,-,0     Palermo
2015-2016,20.03.2016,Atalanta       2,-,0     Bologna
2015-2016,02.04.2016,Carpi       1,-,3     Sassuolo
2015-2016,03.04.2016,Udinese       3,-,1     Napoli
2015-2016,04.04.2016,Bologna       0,-,1     Hellas Verona
2015-2016,09.04.2016,Frosinone       0,-,1     Inter
2015-2016,10.04.2016,Empoli       2,-,0     Fiorentina
2015-2016,11.04.2016,Roma       1,-,1     Bologna
2015-2016,16.04.2016,Bologna       0,-,1     Torino
2015-2016,17.04.2016,Atalanta       3,-,3     Roma
2015-2016,19.04.2016,Napoli       6,-,0     Bologna
2015-2016,20.04.2016,Sassuolo       0,-,0     Sampdoria
2015-2016,21.04.2016,Milan       0,-,0     Carpi
2015-2016,23.04.2016,Inter       3,-,1     Udinese
2015-2016,24.04.2016,Frosinone       0,-,2     Palermo
2015-2016,25.04.2016,Roma       1,-,0     Napoli
2015-2016,30.04.2016,Udinese       1,-,5     Torino
2015-2016,01.05.2016,Juventus       2,-,0     Carpi
2015-2016,02.05.2016,Genoa       2,-,3     Roma
2015-2016,07.05.2016,Inter       2,-,1     Empoli
2015-2016,08.05.2016,Roma       3,-,0     Chievo
2015-2016,14.05.2016,Juventus       5,-,0     Sampdoria
2015-2016,15.05.2016,Genoa       1,-,2     Atalanta
2016-2017,20.08.2016,Roma       4,-,0     Udinese
2016-2017,21.08.2016,Milan       3,-,2     Torino
2016-2017,27.08.2016,Lazio       0,-,1     Juventus
2016-2017,28.08.2016,Inter       1,-,1     Palermo
2016-2017,10.09.2016,Juventus       3,-,1     Sassuolo
2016-2017,11.09.2016,Bologna       2,-,1     Cagliari
2016-2017,12.09.2016,Empoli       2,-,1     Crotone
2016-2017,16.09.2016,Sampdoria       0,-,1     Milan
2016-2017,17.09.2016,Lazio       3,-,0     Pescara
2016-2017,18.09.2016,Udinese       1,-,2     Chievo
2016-2017,20.09.2016,Milan       2,-,0     Lazio
2016-2017,21.09.2016,Bologna       2,-,0     Sampdoria
2016-2017,24.09.2016,Palermo       0,-,1     Juventus
2016-2017,25.09.2016,Torino       3,-,1     Roma
2016-2017,26.09.2016,Crotone       1,-,3     Atalanta
2016-2017,01.10.2016,Pescara       0,-,2     Chievo
2016-2017,02.10.2016,Empoli       0,-,3     Juventus
2016-2017,15.10.2016,Napoli       1,-,3     Roma
2016-2017,16.10.2016,Fiorentina       0,-,0     Atalanta
2016-2017,17.10.2016,Palermo       1,-,4     Torino
2016-2017,22.10.2016,Sampdoria       2,-,1     Genoa
2016-2017,23.10.2016,Udinese       3,-,1     Pescara
2016-2017,25.10.2016,Genoa       3,-,0     Milan
2016-2017,26.10.2016,Chievo       1,-,1     Bologna
2016-2017,27.10.2016,Palermo       1,-,3     Udinese
2016-2017,29.10.2016,Bologna       0,-,1     Fiorentina
2016-2017,30.10.2016,Atalanta       3,-,0     Genoa
2016-2017,31.10.2016,Udinese       2,-,2     Torino
2016-2017,05.11.2016,Torino       5,-,1     Cagliari
2016-2017,06.11.2016,Pescara       0,-,4     Empoli
2016-2017,19.11.2016,Chievo       1,-,0     Cagliari
2016-2017,20.11.2016,Sampdoria       3,-,2     Sassuolo
2016-2017,26.11.2016,Torino       2,-,1     Chievo
2016-2017,27.11.2016,Palermo       0,-,1     Lazio
2016-2017,28.11.2016,Napoli       1,-,1     Sassuolo
2016-2017,02.12.2016,Napoli       3,-,0     Inter
2016-2017,03.12.2016,Juventus       3,-,1     Atalanta
2016-2017,04.12.2016,Milan       2,-,1     Crotone
2016-2017,05.12.2016,Chievo       0,-,0     Genoa
2016-2017,10.12.2016,Crotone       2,-,1     Pescara
2016-2017,11.12.2016,Cagliari       0,-,5     Napoli
2016-2017,12.12.2016,Fiorentina       2,-,1     Sassuolo
2016-2017,15.12.2016,Genoa       1,-,0     Fiorentina
2016-2017,17.12.2016,Empoli       2,-,0     Cagliari
2016-2017,18.12.2016,Sassuolo       0,-,1     Inter
2016-2017,20.12.2016,Atalanta       2,-,1     Empoli
2016-2017,21.12.2016,Inter       3,-,0     Lazio
2016-2017,22.12.2016,Cagliari       4,-,3     Sassuolo
2016-2017,07.01.2017,Empoli       1,-,0     Palermo
2016-2017,08.01.2017,Udinese       1,-,2     Inter
2016-2017,14.01.2017,Crotone       0,-,1     Bologna
2016-2017,15.01.2017,Cagliari       4,-,1     Genoa
2016-2017,16.01.2017,Torino       2,-,2     Milan
2016-2017,21.01.2017,Chievo       0,-,3     Fiorentina
2016-2017,22.01.2017,Juventus       2,-,0     Lazio
2016-2017,28.01.2017,Lazio       0,-,1     Chievo
2016-2017,29.01.2017,Torino       1,-,1     Atalanta
2016-2017,01.02.2017,Pescara       1,-,2     Fiorentina
2016-2017,04.02.2017,Bologna       1,-,7     Napoli
2016-2017,05.02.2017,Milan       0,-,1     Sampdoria
2016-2017,07.02.2017,Roma       4,-,0     Fiorentina
2016-2017,08.02.2017,Crotone       0,-,2     Juventus
2016-2017,10.02.2017,Napoli       2,-,0     Genoa
2016-2017,11.02.2017,Fiorentina       3,-,0     Udinese
2016-2017,12.02.2017,Crotone       0,-,2     Roma
2016-2017,13.02.2017,Lazio       1,-,1     Milan
2016-2017,17.02.2017,Juventus       4,-,1     Palermo
2016-2017,18.02.2017,Atalanta       1,-,0     Crotone
2016-2017,19.02.2017,Bologna       0,-,1     Inter
2016-2017,25.02.2017,Napoli       0,-,2     Atalanta
2016-2017,26.02.2017,Palermo       1,-,1     Sampdoria
2016-2017,27.02.2017,Fiorentina       2,-,2     Torino
2016-2017,04.03.2017,Roma       1,-,2     Napoli
2016-2017,05.03.2017,Atalanta       0,-,0     Fiorentina
2016-2017,10.03.2017,Juventus       2,-,1     Milan
2016-2017,11.03.2017,Genoa       0,-,1     Sampdoria
2016-2017,12.03.2017,Sassuolo       0,-,1     Bologna
2016-2017,13.03.2017,Lazio       3,-,1     Torino
2016-2017,18.03.2017,Torino       2,-,2     Inter
2016-2017,19.03.2017,Empoli       2,-,3     Napoli
2016-2017,01.04.2017,Sassuolo       1,-,2     Lazio
2016-2017,02.04.2017,Torino       2,-,2     Udinese
2016-2017,03.04.2017,Inter       1,-,2     Sampdoria
2016-2017,08.04.2017,Empoli       1,-,1     Pescara
2016-2017,09.04.2017,Sampdoria       2,-,2     Fiorentina
2016-2017,15.04.2017,Inter       2,-,2     Milan
2016-2017,22.04.2017,Atalanta       3,-,2     Bologna
2016-2017,23.04.2017,Sassuolo       2,-,2     Napoli
2016-2017,24.04.2017,Pescara       1,-,4     Roma
2016-2017,28.04.2017,Atalanta       2,-,2     Juventus
2016-2017,29.04.2017,Torino       1,-,1     Sampdoria
2016-2017,30.04.2017,Roma       1,-,3     Lazio
2016-2017,06.05.2017,Napoli       3,-,1     Cagliari
2016-2017,07.05.2017,Udinese       1,-,1     Atalanta
2016-2017,13.05.2017,Fiorentina       3,-,2     Lazio
2016-2017,14.05.2017,Inter       1,-,2     Sassuolo
2016-2017,20.05.2017,Chievo       3,-,5     Roma
2016-2017,21.05.2017,Empoli       0,-,1     Atalanta
2016-2017,22.05.2017,Pescara       2,-,0     Palermo
2016-2017,27.05.2017,Atalanta       1,-,0     Chievo
2016-2017,28.05.2017,Cagliari       2,-,1     Milan
2017-2018,19.08.2017,Juventus       3,-,0     Cagliari
2017-2018,20.08.2017,Atalanta       0,-,1     Roma
2017-2018,26.08.2017,Benevento       0,-,1     Bologna
2017-2018,27.08.2017,Torino       3,-,0     Sassuolo
2017-2018,09.09.2017,Juventus       3,-,0     Chievo
2017-2018,10.09.2017,Inter       2,-,0     SPAL
2017-2018,16.09.2017,Crotone       0,-,2     Inter
2017-2018,17.09.2017,Sassuolo       1,-,3     Juventus
2017-2018,19.09.2017,Bologna       1,-,1     Inter
2017-2018,20.09.2017,Benevento       0,-,4     Roma
2017-2018,23.09.2017,Roma       3,-,1     Udinese
2017-2018,24.09.2017,Sampdoria       2,-,0     Milan
2017-2018,30.09.2017,Udinese       4,-,0     Sampdoria
2017-2018,01.10.2017,Napoli       3,-,0     Cagliari
2017-2018,14.10.2017,Juventus       1,-,2     Lazio
2017-2018,15.10.2017,Fiorentina       2,-,1     Udinese
2017-2018,16.10.2017,Hellas Verona       1,-,0     Benevento
2017-2018,21.10.2017,Sampdoria       5,-,0     Crotone
2017-2018,22.10.2017,Chievo       3,-,2     Hellas Verona
2017-2018,24.10.2017,Inter       3,-,2     Sampdoria
2017-2018,25.10.2017,Atalanta       3,-,0     Hellas Verona
2017-2018,28.10.2017,Milan       0,-,2     Juventus
2017-2018,29.10.2017,Benevento       1,-,5     Lazio
2017-2018,30.10.2017,Hellas Verona       1,-,2     Inter
2017-2018,04.11.2017,Bologna       2,-,3     Crotone
2017-2018,05.11.2017,Inter       1,-,1     Torino
2017-2018,18.11.2017,Roma       2,-,1     Lazio
2017-2018,19.11.2017,Crotone       0,-,1     Genoa
2017-2018,20.11.2017,Hellas Verona       2,-,3     Bologna
2017-2018,25.11.2017,Bologna       3,-,0     Sampdoria
2017-2018,26.11.2017,Genoa       1,-,1     Roma
2017-2018,27.11.2017,Atalanta       1,-,0     Benevento
2017-2018,01.12.2017,Roma       3,-,1     SPAL
2017-2018,02.12.2017,Torino       1,-,1     Atalanta
2017-2018,03.12.2017,Benevento       2,-,2     Milan
2017-2018,04.12.2017,Crotone       0,-,3     Udinese
2017-2018,09.12.2017,Cagliari       2,-,2     Sampdoria
2017-2018,10.12.2017,Chievo       0,-,0     Roma
2017-2018,11.12.2017,Lazio       1,-,3     Torino
2017-2018,12.12.2017,Genoa       1,-,2     Atalanta
2017-2018,16.12.2017,Inter       1,-,3     Udinese
2017-2018,17.12.2017,Hellas Verona       3,-,0     Milan
2017-2018,22.12.2017,Chievo       2,-,3     Bologna
2017-2018,23.12.2017,Lazio       4,-,0     Crotone
2017-2018,29.12.2017,Crotone       0,-,1     Napoli
2017-2018,30.12.2017,Fiorentina       1,-,1     Milan
2017-2018,05.01.2018,Chievo       1,-,1     Udinese
2017-2018,06.01.2018,Torino       3,-,0     Bologna
2017-2018,21.01.2018,Atalanta       0,-,1     Napoli
2017-2018,22.01.2018,Juventus       1,-,0     Genoa
2017-2018,24.01.2018,Sampdoria       1,-,1     Roma
2017-2018,27.01.2018,Sassuolo       0,-,3     Atalanta
2017-2018,28.01.2018,SPAL       1,-,1     Inter
2017-2018,03.02.2018,Sampdoria       1,-,1     Torino
2017-2018,04.02.2018,Hellas Verona       0,-,1     Roma
2017-2018,05.02.2018,Lazio       1,-,2     Genoa
2017-2018,09.02.2018,Fiorentina       0,-,2     Juventus
2017-2018,10.02.2018,SPAL       0,-,4     Milan
2017-2018,11.02.2018,Sassuolo       0,-,0     Cagliari
2017-2018,17.02.2018,Udinese       0,-,2     Roma
2017-2018,18.02.2018,Torino       0,-,1     Juventus
2017-2018,19.02.2018,Lazio       2,-,0     Hellas Verona
2017-2018,24.02.2018,Bologna       2,-,0     Genoa
2017-2018,25.02.2018,Crotone       2,-,3     SPAL
2017-2018,26.02.2018,Cagliari       0,-,5     Napoli
2017-2018,03.03.2018,SPAL       1,-,0     Bologna
2017-2018,09.03.2018,Roma       3,-,0     Torino
2017-2018,10.03.2018,Hellas Verona       1,-,0     Chievo
2017-2018,11.03.2018,Fiorentina       1,-,0     Benevento
2017-2018,14.03.2018,Juventus       2,-,0     Atalanta
2017-2018,17.03.2018,Udinese       1,-,2     Sassuolo
2017-2018,18.03.2018,Sampdoria       0,-,5     Inter
2017-2018,31.03.2018,Bologna       1,-,1     Roma
2017-2018,03.04.2018,Genoa       2,-,1     Cagliari
2017-2018,04.04.2018,Benevento       3,-,0     Hellas Verona
2017-2018,07.04.2018,Benevento       2,-,4     Juventus
2017-2018,08.04.2018,Torino       1,-,0     Inter
2017-2018,14.04.2018,Cagliari       2,-,1     Udinese
2017-2018,15.04.2018,Fiorentina       0,-,0     SPAL
2017-2018,17.04.2018,Inter       4,-,0     Cagliari
2017-2018,18.04.2018,Benevento       0,-,3     Atalanta
2017-2018,21.04.2018,SPAL       0,-,3     Roma
2017-2018,22.04.2018,Cagliari       0,-,0     Bologna
2017-2018,23.04.2018,Genoa       3,-,1     Hellas Verona
2017-2018,28.04.2018,Roma       4,-,1     Chievo
2017-2018,29.04.2018,Crotone       4,-,1     Sassuolo
2017-2018,05.05.2018,Milan       4,-,1     Hellas Verona
2017-2018,06.05.2018,Udinese       0,-,4     Inter
2017-2018,12.05.2018,Benevento       1,-,0     Genoa
2017-2018,13.05.2018,Fiorentina       0,-,1     Cagliari
2017-2018,19.05.2018,Juventus       2,-,1     Hellas Verona
2017-2018,20.05.2018,Genoa       1,-,2     Torino
2018-2019,18.08.2018,Chievo       2,-,3     Juventus
2018-2019,19.08.2018,Torino       0,-,1     Roma
2018-2019,20.08.2018,Atalanta       4,-,0     Frosinone
2018-2019,25.08.2018,Juventus       2,-,0     Lazio
2018-2019,26.08.2018,SPAL       1,-,0     Parma
2018-2019,27.08.2018,Roma       3,-,3     Atalanta
2018-2019,31.08.2018,Milan       2,-,1     Roma
2018-2019,01.09.2018,Bologna       0,-,3     Inter
2018-2019,02.09.2018,Fiorentina       1,-,0     Udinese
2018-2019,15.09.2018,Inter       0,-,1     Parma
2018-2019,16.09.2018,Roma       2,-,2     Chievo
2018-2019,17.09.2018,SPAL       2,-,0     Atalanta
2018-2019,19.09.2018,Sampdoria       1,-,1     Fiorentina
2018-2019,21.09.2018,Sassuolo       3,-,1     Empoli
2018-2019,22.09.2018,Parma       2,-,0     Cagliari
2018-2019,23.09.2018,Torino       1,-,3     Napoli
2018-2019,25.09.2018,Inter       2,-,1     Fiorentina
2018-2019,26.09.2018,Udinese       1,-,2     Lazio
2018-2019,27.09.2018,SPAL       0,-,2     Sassuolo
2018-2019,29.09.2018,Roma       3,-,1     Lazio
2018-2019,30.09.2018,Bologna       2,-,1     Udinese
2018-2019,01.10.2018,Sampdoria       2,-,1     SPAL
2018-2019,05.10.2018,Torino       3,-,2     Frosinone
2018-2019,06.10.2018,Cagliari       2,-,0     Bologna
2018-2019,07.10.2018,Genoa       1,-,3     Parma
2018-2019,20.10.2018,Roma       0,-,2     SPAL
2018-2019,21.10.2018,Frosinone       3,-,3     Empoli
2018-2019,22.10.2018,Sampdoria       0,-,0     Sassuolo
2018-2019,27.10.2018,Atalanta       3,-,0     Parma
2018-2019,28.10.2018,Sassuolo       2,-,2     Bologna
2018-2019,29.10.2018,Lazio       0,-,3     Inter
2018-2019,31.10.2018,Milan       2,-,1     Genoa
2018-2019,02.11.2018,Napoli       5,-,1     Empoli
2018-2019,03.11.2018,Inter       5,-,0     Genoa
2018-2019,04.11.2018,Lazio       4,-,1     SPAL
2018-2019,09.11.2018,Frosinone       1,-,1     Fiorentina
2018-2019,10.11.2018,Torino       1,-,2     Parma
2018-2019,11.11.2018,Atalanta       4,-,1     Inter
2018-2019,24.11.2018,Udinese       1,-,0     Roma
2018-2019,25.11.2018,Parma       2,-,1     Sassuolo
2018-2019,26.11.2018,Cagliari       0,-,0     Torino
2018-2019,01.12.2018,SPAL       2,-,2     Empoli
2018-2019,02.12.2018,Milan       2,-,1     Parma
2018-2019,03.12.2018,Atalanta       1,-,2     Napoli
2018-2019,07.12.2018,Juventus       1,-,0     Inter
2018-2019,08.12.2018,Napoli       4,-,0     Frosinone
2018-2019,09.12.2018,Sassuolo       3,-,3     Fiorentina
2018-2019,15.12.2018,Inter       1,-,0     Udinese
2018-2019,16.12.2018,SPAL       0,-,0     Chievo
2018-2019,17.12.2018,Atalanta       1,-,0     Lazio
2018-2019,18.12.2018,Bologna       0,-,0     Milan
2018-2019,22.12.2018,Lazio       3,-,1     Cagliari
2018-2019,26.12.2018,Frosinone       0,-,0     Milan
2018-2019,29.12.2018,Juventus       2,-,1     Sampdoria
2018-2019,19.01.2019,Roma       3,-,2     Torino
2018-2019,20.01.2019,Frosinone       0,-,5     Atalanta
2018-2019,21.01.2019,Genoa       0,-,2     Milan
2018-2019,26.01.2019,Sassuolo       3,-,0     Cagliari
2018-2019,27.01.2019,Chievo       3,-,4     Fiorentina
2018-2019,28.01.2019,Empoli       1,-,3     Genoa
2018-2019,02.02.2019,Empoli       2,-,2     Chievo
2018-2019,03.02.2019,SPAL       0,-,0     Torino
2018-2019,04.02.2019,Frosinone       0,-,1     Lazio
2018-2019,07.02.2019,Lazio       1,-,0     Empoli
2018-2019,08.02.2019,Chievo       0,-,3     Roma
2018-2019,09.02.2019,Fiorentina       0,-,0     Napoli
2018-2019,10.02.2019,Bologna       1,-,1     Genoa
2018-2019,15.02.2019,Juventus       3,-,0     Frosinone
2018-2019,16.02.2019,Cagliari       2,-,1     Parma
2018-2019,17.02.2019,SPAL       1,-,4     Fiorentina
2018-2019,18.02.2019,Roma       2,-,1     Bologna
2018-2019,22.02.2019,Milan       3,-,0     Empoli
2018-2019,23.02.2019,Torino       2,-,0     Atalanta
2018-2019,24.02.2019,Sampdoria       1,-,0     Cagliari
2018-2019,01.03.2019,Cagliari       2,-,1     Inter
2018-2019,02.03.2019,Empoli       3,-,3     Parma
2018-2019,03.03.2019,Torino       3,-,0     Chievo
2018-2019,08.03.2019,Juventus       4,-,1     Udinese
2018-2019,09.03.2019,Parma       1,-,0     Genoa
2018-2019,10.03.2019,Bologna       2,-,0     Cagliari
2018-2019,11.03.2019,Roma       2,-,1     Empoli
2018-2019,15.03.2019,Cagliari       2,-,1     Fiorentina
2018-2019,16.03.2019,Sassuolo       3,-,5     Sampdoria
2018-2019,17.03.2019,Genoa       2,-,0     Juventus
2018-2019,29.03.2019,Chievo       0,-,3     Cagliari
2018-2019,30.03.2019,Udinese       2,-,0     Genoa
2018-2019,31.03.2019,Parma       1,-,3     Atalanta
2018-2019,02.04.2019,Milan       1,-,1     Udinese
2018-2019,03.04.2019,Empoli       2,-,1     Napoli
2018-2019,04.04.2019,Sassuolo       4,-,0     Chievo
2018-2019,06.04.2019,Parma       0,-,0     Torino
2018-2019,07.04.2019,Fiorentina       0,-,1     Frosinone
2018-2019,08.04.2019,Bologna       3,-,0     Chievo
2018-2019,13.04.2019,SPAL       2,-,1     Juventus
2018-2019,14.04.2019,Torino       1,-,1     Cagliari
2018-2019,15.04.2019,Atalanta       0,-,0     Empoli
2018-2019,17.04.2019,Lazio       2,-,0     Udinese
2018-2019,20.04.2019,Parma       1,-,1     Milan
2018-2019,22.04.2019,Napoli       1,-,2     Atalanta
2018-2019,27.04.2019,Bologna       3,-,1     Empoli
2018-2019,28.04.2019,Frosinone       0,-,2     Napoli
2018-2019,29.04.2019,Atalanta       2,-,0     Udinese
2018-2019,03.05.2019,Juventus       1,-,1     Torino
2018-2019,04.05.2019,Chievo       0,-,4     SPAL
2018-2019,05.05.2019,Empoli       1,-,0     Fiorentina
2018-2019,06.05.2019,Milan       2,-,1     Bologna
2018-2019,11.05.2019,Atalanta       2,-,1     Genoa
2018-2019,12.05.2019,Torino       3,-,2     Sassuolo
2018-2019,13.05.2019,Bologna       4,-,1     Parma
2018-2019,18.05.2019,Udinese       3,-,2     SPAL
2018-2019,19.05.2019,Chievo       0,-,0     Sampdoria
2018-2019,20.05.2019,Lazio       3,-,3     Bologna
2018-2019,25.05.2019,Frosinone       0,-,0     Chievo
2018-2019,26.05.2019,Torino       3,-,1     Lazio
2019-2020,24.08.2019,Parma       0,-,1     Juventus
2019-2020,25.08.2019,Udinese       1,-,0     Milan
2019-2020,26.08.2019,Inter       4,-,0     Lecce
2019-2020,30.08.2019,Bologna       1,-,0     SPAL
2019-2020,31.08.2019,Milan       1,-,0     Brescia
2019-2020,01.09.2019,Lazio       1,-,1     Roma
2019-2020,14.09.2019,Fiorentina       0,-,0     Juventus
2019-2020,15.09.2019,Genoa       1,-,2     Atalanta
2019-2020,16.09.2019,Torino       1,-,2     Lecce
2019-2020,20.09.2019,Cagliari       3,-,1     Genoa
2019-2020,21.09.2019,Udinese       0,-,1     Brescia
2019-2020,22.09.2019,Sassuolo       3,-,0     SPAL
2019-2020,24.09.2019,Hellas Verona       0,-,0     Udinese
2019-2020,25.09.2019,Roma       0,-,2     Atalanta
2019-2020,26.09.2019,Torino       2,-,1     Milan
2019-2020,28.09.2019,Juventus       2,-,0     SPAL
2019-2020,29.09.2019,Napoli       2,-,1     Brescia
2019-2020,30.09.2019,Parma       3,-,2     Torino
2019-2020,05.10.2019,SPAL       1,-,0     Parma
2019-2020,06.10.2019,Fiorentina       1,-,0     Udinese
2019-2020,19.10.2019,Lazio       3,-,3     Atalanta
2019-2020,20.10.2019,Sassuolo       3,-,4     Inter
2019-2020,21.10.2019,Brescia       0,-,0     Fiorentina
2019-2020,25.10.2019,Hellas Verona       0,-,1     Sassuolo
2019-2020,26.10.2019,Lecce       1,-,1     Juventus
2019-2020,27.10.2019,Bologna       2,-,1     Sampdoria
2019-2020,29.10.2019,Parma       0,-,1     Hellas Verona
2019-2020,30.10.2019,Napoli       2,-,2     Atalanta
2019-2020,31.10.2019,Milan       1,-,0     SPAL
2019-2020,02.11.2019,Roma       2,-,1     Napoli
2019-2020,03.11.2019,Atalanta       0,-,2     Cagliari
2019-2020,04.11.2019,SPAL       0,-,1     Sampdoria
2019-2020,08.11.2019,Sassuolo       3,-,1     Bologna
2019-2020,09.11.2019,Brescia       0,-,4     Torino
2019-2020,10.11.2019,Cagliari       5,-,2     Fiorentina
2019-2020,23.11.2019,Atalanta       1,-,3     Juventus
2019-2020,24.11.2019,Bologna       2,-,2     Parma
2019-2020,25.11.2019,Lecce       2,-,2     Cagliari
2019-2020,30.11.2019,Brescia       0,-,3     Atalanta
2019-2020,01.12.2019,Juventus       2,-,2     Sassuolo
2019-2020,02.12.2019,Cagliari       4,-,3     Sampdoria
2019-2020,06.12.2019,Inter       0,-,0     Roma
2019-2020,07.12.2019,Atalanta       3,-,2     Hellas Verona
2019-2020,08.12.2019,Lecce       2,-,2     Genoa
2019-2020,14.12.2019,Brescia       3,-,0     Lecce
2019-2020,15.12.2019,Hellas Verona       3,-,3     Torino
2019-2020,16.12.2019,Cagliari       1,-,2     Lazio
2019-2020,18.12.2019,Brescia       0,-,2     Sassuolo
2019-2020,20.12.2019,Fiorentina       1,-,4     Roma
2019-2020,21.12.2019,Udinese       2,-,1     Cagliari
2019-2020,22.12.2019,Atalanta       5,-,0     Milan
2019-2020,05.01.2020,Brescia       1,-,2     Lazio
2019-2020,06.01.2020,Bologna       1,-,1     Fiorentina
2019-2020,11.01.2020,Cagliari       0,-,2     Milan
2019-2020,12.01.2020,Udinese       3,-,0     Sassuolo
2019-2020,13.01.2020,Parma       2,-,0     Lecce
2019-2020,18.01.2020,Lazio       5,-,1     Sampdoria
2019-2020,19.01.2020,Milan       3,-,2     Udinese
2019-2020,20.01.2020,Atalanta       1,-,2     SPAL
2019-2020,24.01.2020,Brescia       0,-,1     Milan
2019-2020,25.01.2020,SPAL       1,-,3     Bologna
2019-2020,26.01.2020,Inter       1,-,1     Cagliari
2019-2020,01.02.2020,Bologna       2,-,1     Brescia
2019-2020,02.02.2020,Juventus       3,-,0     Fiorentina
2019-2020,03.02.2020,Sampdoria       2,-,4     Napoli
2019-2020,05.02.2020,Lazio       0,-,0     Hellas Verona
2019-2020,07.02.2020,Roma       2,-,3     Bologna
2019-2020,08.02.2020,Fiorentina       1,-,2     Atalanta
2019-2020,09.02.2020,SPAL       1,-,2     Sassuolo
2019-2020,15.02.2020,Lecce       2,-,1     SPAL
2019-2020,16.02.2020,Udinese       0,-,0     Hellas Verona
2019-2020,17.02.2020,Milan       1,-,0     Torino
2019-2020,21.02.2020,Brescia       1,-,2     Napoli
2019-2020,22.02.2020,Bologna       1,-,1     Udinese
2019-2020,23.02.2020,Genoa       2,-,3     Lazio
2019-2020,29.02.2020,Lazio       2,-,0     Bologna
2019-2020,01.03.2020,Lecce       2,-,7     Atalanta
2019-2020,08.03.2020,Parma       0,-,1     SPAL
2019-2020,09.03.2020,Sassuolo       3,-,0     Brescia
2019-2020,20.06.2020,Torino       1,-,1     Parma
2019-2020,21.06.2020,Atalanta       4,-,1     Sassuolo
2019-2020,22.06.2020,Fiorentina       1,-,1     Brescia
2019-2020,23.06.2020,SPAL       0,-,1     Cagliari
2019-2020,24.06.2020,Inter       3,-,3     Sassuolo
2019-2020,26.06.2020,Juventus       4,-,0     Lecce
2019-2020,27.06.2020,Brescia       2,-,2     Genoa
2019-2020,28.06.2020,Milan       2,-,0     Roma
2019-2020,30.06.2020,Torino       1,-,2     Lazio
2019-2020,01.07.2020,Inter       6,-,0     Brescia
2019-2020,02.07.2020,Atalanta       2,-,0     Napoli
2019-2020,04.07.2020,Juventus       4,-,1     Torino
2019-2020,05.07.2020,Inter       1,-,2     Bologna
2019-2020,07.07.2020,Lecce       2,-,1     Lazio
2019-2020,08.07.2020,Fiorentina       0,-,0     Cagliari
2019-2020,09.07.2020,SPAL       0,-,3     Udinese
2019-2020,11.07.2020,Lazio       1,-,2     Sassuolo
2019-2020,12.07.2020,Genoa       2,-,0     SPAL
2019-2020,13.07.2020,Inter       3,-,1     Torino
2019-2020,14.07.2020,Atalanta       6,-,2     Brescia
2019-2020,15.07.2020,Sampdoria       3,-,0     Cagliari
2019-2020,16.07.2020,Torino       3,-,0     Genoa
2019-2020,18.07.2020,Hellas Verona       1,-,1     Atalanta
2019-2020,19.07.2020,Parma       2,-,3     Sampdoria
2019-2020,20.07.2020,Juventus       2,-,1     Lazio
2019-2020,21.07.2020,Atalanta       1,-,0     Bologna
2019-2020,22.07.2020,Parma       2,-,1     Napoli
2019-2020,23.07.2020,Udinese       2,-,1     Juventus
2019-2020,24.07.2020,Milan       1,-,1     Atalanta
2019-2020,25.07.2020,Brescia       1,-,2     Parma
2019-2020,26.07.2020,Bologna       3,-,2     Lecce
2019-2020,28.07.2020,Parma       1,-,2     Atalanta
2019-2020,29.07.2020,Lazio       2,-,0     Brescia
