La Liga
Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2015-2016,15.04.2016,Levante       2,-,1     Espanyol
2015-2016,16.04.2016,Getafe       1,-,5     Real Madrid
2015-2016,17.04.2016,Malaga       0,-,1     Ath. Bilbao
2015-2016,19.04.2016,Espanyol       1,-,1     Celta Vigo
2015-2016,20.04.2016,Deportivo       0,-,8     Barcelona
2015-2016,21.04.2016,R. Sociedad       1,-,2     Getafe
2015-2016,22.04.2016,Las Palmas       4,-,0     Espanyol
2015-2016,23.04.2016,Rayo Vallecano       2,-,3     Real Madrid
2015-2016,24.04.2016,Levante       2,-,2     Ath. Bilbao
2015-2016,25.04.2016,Celta Vigo       2,-,1     Granada
2015-2016,29.04.2016,Sporting Gijon       2,-,0     Eibar
2015-2016,30.04.2016,R. Sociedad       0,-,1     Real Madrid
2015-2016,01.05.2016,Ath. Bilbao       2,-,1     Celta Vigo
2015-2016,02.05.2016,Malaga       3,-,1     Levante
2015-2016,08.05.2016,R. Sociedad       2,-,1     Rayo Vallecano
2015-2016,13.05.2016,Valencia       0,-,1     R. Sociedad
2015-2016,14.05.2016,Deportivo       0,-,2     Real Madrid
2015-2016,15.05.2016,Malaga       4,-,1     Las Palmas
2016-2017,19.08.2016,Malaga       1,-,1     Osasuna
2016-2017,20.08.2016,Barcelona       6,-,2     Real Betis
2016-2017,21.08.2016,Sporting Gijon       2,-,1     Ath. Bilbao
2016-2017,22.08.2016,Celta Vigo       0,-,1     Leganes
2016-2017,26.08.2016,Real Betis       0,-,0     Deportivo
2016-2017,27.08.2016,Osasuna       0,-,2     R. Sociedad
2016-2017,28.08.2016,Las Palmas       5,-,1     Granada
2016-2017,09.09.2016,R. Sociedad       1,-,1     Espanyol
2016-2017,10.09.2016,Celta Vigo       0,-,4     Atl. Madrid
2016-2017,11.09.2016,Sporting Gijon       2,-,1     Leganes
2016-2017,16.09.2016,Real Betis       2,-,2     Granada
2016-2017,17.09.2016,Leganes       1,-,5     Barcelona
2016-2017,18.09.2016,Osasuna       0,-,0     Celta Vigo
2016-2017,19.09.2016,Alaves       0,-,0     Deportivo
2016-2017,20.09.2016,Malaga       2,-,1     Eibar
2016-2017,21.09.2016,Real Madrid       1,-,1     Villarreal
2016-2017,22.09.2016,Osasuna       1,-,2     Espanyol
2016-2017,23.09.2016,Real Betis       1,-,0     Malaga
2016-2017,24.09.2016,Eibar       2,-,0     R. Sociedad
2016-2017,25.09.2016,Leganes       1,-,2     Valencia
2016-2017,26.09.2016,Alaves       3,-,1     Granada
2016-2017,30.09.2016,R. Sociedad       1,-,0     Real Betis
2016-2017,01.10.2016,Granada       0,-,1     Leganes
2016-2017,02.10.2016,Valencia       0,-,2     Atl. Madrid
2016-2017,14.10.2016,Las Palmas       0,-,0     Espanyol
2016-2017,15.10.2016,Leganes       2,-,3     Sevilla
2016-2017,16.10.2016,Alaves       1,-,1     Malaga
2016-2017,17.10.2016,Eibar       2,-,3     Osasuna
2016-2017,21.10.2016,Osasuna       1,-,2     Real Betis
2016-2017,22.10.2016,Espanyol       3,-,3     Eibar
2016-2017,23.10.2016,Celta Vigo       4,-,1     Deportivo
2016-2017,28.10.2016,Leganes       0,-,2     R. Sociedad
2016-2017,29.10.2016,Sporting Gijon       1,-,1     Sevilla
2016-2017,30.10.2016,Eibar       2,-,1     Villarreal
2016-2017,31.10.2016,Deportivo       1,-,1     Valencia
2016-2017,04.11.2016,Malaga       3,-,2     Sporting Gijon
2016-2017,05.11.2016,Granada       1,-,1     Deportivo
2016-2017,06.11.2016,Real Madrid       3,-,0     Leganes
2016-2017,18.11.2016,Real Betis       2,-,0     Las Palmas
2016-2017,19.11.2016,Deportivo       2,-,3     Sevilla
2016-2017,20.11.2016,Alaves       0,-,1     Espanyol
2016-2017,21.11.2016,Leganes       2,-,0     Osasuna
2016-2017,25.11.2016,Eibar       3,-,1     Real Betis
2016-2017,26.11.2016,Malaga       4,-,3     Deportivo
2016-2017,27.11.2016,Villarreal       0,-,2     Alaves
2016-2017,28.11.2016,Las Palmas       3,-,1     Ath. Bilbao
2016-2017,03.12.2016,Granada       2,-,1     Sevilla
2016-2017,04.12.2016,Real Betis       3,-,3     Celta Vigo
2016-2017,05.12.2016,Deportivo       5,-,1     R. Sociedad
2016-2017,09.12.2016,Malaga       1,-,1     Granada
2016-2017,10.12.2016,Osasuna       0,-,3     Barcelona
2016-2017,11.12.2016,Eibar       0,-,0     Alaves
2016-2017,12.12.2016,Villarreal       3,-,0     Atl. Madrid
2016-2017,16.12.2016,Alaves       1,-,0     Real Betis
2016-2017,17.12.2016,Sporting Gijon       1,-,3     Villarreal
2016-2017,18.12.2016,Leganes       1,-,1     Eibar
2016-2017,19.12.2016,Ath. Bilbao       2,-,1     Celta Vigo
2016-2017,06.01.2017,Espanyol       1,-,1     Deportivo
2016-2017,07.01.2017,Real Madrid       5,-,0     Granada
2016-2017,08.01.2017,Ath. Bilbao       0,-,0     Alaves
2016-2017,09.01.2017,Osasuna       3,-,3     Valencia
2016-2017,14.01.2017,Leganes       0,-,0     Ath. Bilbao
2016-2017,15.01.2017,Valencia       2,-,1     Espanyol
2016-2017,16.01.2017,Malaga       0,-,2     R. Sociedad
2016-2017,20.01.2017,Las Palmas       1,-,1     Deportivo
2016-2017,21.01.2017,Espanyol       3,-,1     Granada
2016-2017,22.01.2017,Osasuna       3,-,4     Sevilla
2016-2017,27.01.2017,Osasuna       1,-,1     Malaga
2016-2017,28.01.2017,Villarreal       2,-,0     Granada
2016-2017,29.01.2017,Real Betis       1,-,1     Barcelona
2016-2017,30.01.2017,Las Palmas       3,-,1     Valencia
2016-2017,04.02.2017,Malaga       0,-,1     Espanyol
2016-2017,05.02.2017,Sevilla       0,-,0     Villarreal
2016-2017,06.02.2017,Granada       1,-,0     Las Palmas
2016-2017,10.02.2017,Espanyol       1,-,2     R. Sociedad
2016-2017,11.02.2017,Real Betis       0,-,0     Valencia
2016-2017,12.02.2017,Villarreal       1,-,1     Malaga
2016-2017,13.02.2017,Eibar       4,-,0     Granada
2016-2017,17.02.2017,Granada       4,-,1     Real Betis
2016-2017,18.02.2017,Sporting Gijon       1,-,4     Atl. Madrid
2016-2017,19.02.2017,R. Sociedad       0,-,1     Villarreal
2016-2017,20.02.2017,Malaga       2,-,1     Las Palmas
2016-2017,22.02.2017,Valencia       2,-,1     Real Madrid
2016-2017,24.02.2017,Las Palmas       0,-,1     R. Sociedad
2016-2017,25.02.2017,Alaves       2,-,1     Valencia
2016-2017,26.02.2017,Espanyol       3,-,0     Osasuna
2016-2017,28.02.2017,R. Sociedad       2,-,2     Eibar
2016-2017,01.03.2017,Osasuna       1,-,4     Villarreal
2016-2017,02.03.2017,Deportivo       1,-,1     Atl. Madrid
2016-2017,03.03.2017,Real Betis       2,-,3     R. Sociedad
2016-2017,04.03.2017,Leganes       1,-,0     Granada
2016-2017,05.03.2017,Sporting Gijon       0,-,1     Deportivo
2016-2017,06.03.2017,Alaves       1,-,1     Sevilla
2016-2017,08.03.2017,Deportivo       1,-,1     Real Betis
2016-2017,10.03.2017,Espanyol       4,-,3     Las Palmas
2016-2017,11.03.2017,Valencia       1,-,1     Sporting Gijon
2016-2017,12.03.2017,R. Sociedad       0,-,2     Ath. Bilbao
2016-2017,13.03.2017,Osasuna       1,-,1     Eibar
2016-2017,17.03.2017,Las Palmas       1,-,0     Villarreal
2016-2017,18.03.2017,Eibar       1,-,1     Espanyol
2016-2017,19.03.2017,Leganes       0,-,0     Malaga
2016-2017,31.03.2017,Espanyol       2,-,1     Real Betis
2016-2017,01.04.2017,Villarreal       2,-,3     Eibar
2016-2017,02.04.2017,Sevilla       0,-,0     Sporting Gijon
2016-2017,03.04.2017,Celta Vigo       3,-,1     Las Palmas
2016-2017,04.04.2017,Ath. Bilbao       2,-,0     Espanyol
2016-2017,05.04.2017,Barcelona       3,-,0     Sevilla
2016-2017,06.04.2017,Eibar       3,-,1     Las Palmas
2016-2017,07.04.2017,Villarreal       3,-,1     Ath. Bilbao
2016-2017,08.04.2017,Espanyol       1,-,0     Alaves
2016-2017,09.04.2017,Granada       1,-,3     Valencia
2016-2017,10.04.2017,R. Sociedad       3,-,1     Sporting Gijon
2016-2017,14.04.2017,Ath. Bilbao       5,-,1     Las Palmas
2016-2017,15.04.2017,Deportivo       2,-,0     Malaga
2016-2017,16.04.2017,Leganes       0,-,1     Espanyol
2016-2017,17.04.2017,Alaves       2,-,1     Villarreal
2016-2017,21.04.2017,Sevilla       2,-,0     Granada
2016-2017,22.04.2017,Malaga       2,-,0     Valencia
2016-2017,23.04.2017,R. Sociedad       1,-,0     Deportivo
2016-2017,24.04.2017,Eibar       0,-,1     Ath. Bilbao
2016-2017,25.04.2017,Sporting Gijon       1,-,1     Espanyol
2016-2017,26.04.2017,Barcelona       7,-,1     Osasuna
2016-2017,27.04.2017,Alaves       0,-,0     Eibar
2016-2017,28.04.2017,Villarreal       3,-,1     Sporting Gijon
2016-2017,29.04.2017,R. Sociedad       2,-,1     Granada
2016-2017,30.04.2017,Osasuna       2,-,2     Deportivo
2016-2017,01.05.2017,Malaga       4,-,2     Sevilla
2016-2017,05.05.2017,Sevilla       1,-,1     R. Sociedad
2016-2017,06.05.2017,Sporting Gijon       1,-,0     Las Palmas
2016-2017,07.05.2017,Alaves       1,-,0     Ath. Bilbao
2016-2017,08.05.2017,Leganes       4,-,0     Real Betis
2016-2017,13.05.2017,Espanyol       0,-,1     Valencia
2016-2017,14.05.2017,Alaves       3,-,1     Celta Vigo
2016-2017,17.05.2017,Celta Vigo       1,-,4     Real Madrid
2016-2017,19.05.2017,Granada       1,-,2     Espanyol
2016-2017,20.05.2017,Sporting Gijon       2,-,2     Real Betis
2016-2017,21.05.2017,Atl. Madrid       3,-,1     Ath. Bilbao
2017-2018,18.08.2017,Leganes       1,-,0     Alaves
2017-2018,19.08.2017,Celta Vigo       2,-,3     R. Sociedad
2017-2018,20.08.2017,Ath. Bilbao       0,-,0     Getafe
2017-2018,21.08.2017,Levante       1,-,0     Villarreal
2017-2018,25.08.2017,R. Sociedad       3,-,0     Villarreal
2017-2018,26.08.2017,Alaves       0,-,2     Barcelona
2017-2018,27.08.2017,Espanyol       0,-,1     Leganes
2017-2018,08.09.2017,Leganes       1,-,2     Getafe
2017-2018,09.09.2017,Real Madrid       1,-,1     Levante
2017-2018,10.09.2017,Deportivo       2,-,4     R. Sociedad
2017-2018,11.09.2017,Malaga       1,-,3     Las Palmas
2017-2018,15.09.2017,Eibar       1,-,0     Leganes
2017-2018,16.09.2017,Levante       1,-,1     Valencia
2017-2018,17.09.2017,Alaves       0,-,3     Villarreal
2017-2018,18.09.2017,Espanyol       2,-,1     Celta Vigo
2017-2018,19.09.2017,Valencia       5,-,0     Malaga
2017-2018,20.09.2017,Ath. Bilbao       1,-,2     Atl. Madrid
2017-2018,21.09.2017,Villarreal       0,-,0     Espanyol
2017-2018,23.09.2017,Atl. Madrid       2,-,0     Sevilla
2017-2018,24.09.2017,Espanyol       4,-,1     Deportivo
2017-2018,25.09.2017,Real Betis       4,-,0     Levante
2017-2018,29.09.2017,Celta Vigo       3,-,3     Girona
2017-2018,30.09.2017,Deportivo       2,-,1     Getafe
2017-2018,01.10.2017,R. Sociedad       4,-,4     Real Betis
2017-2018,13.10.2017,Espanyol       0,-,0     Levante
2017-2018,14.10.2017,Ath. Bilbao       1,-,0     Sevilla
2017-2018,15.10.2017,Eibar       0,-,0     Deportivo
2017-2018,16.10.2017,Las Palmas       2,-,5     Celta Vigo
2017-2018,21.10.2017,Levante       1,-,1     Getafe
2017-2018,22.10.2017,Villarreal       4,-,0     Las Palmas
2017-2018,23.10.2017,R. Sociedad       1,-,1     Espanyol
2017-2018,28.10.2017,Alaves       1,-,2     Valencia
2017-2018,29.10.2017,Getafe       2,-,1     R. Sociedad
2017-2018,30.10.2017,Espanyol       1,-,0     Real Betis
2017-2018,03.11.2017,Real Betis       2,-,2     Getafe
2017-2018,04.11.2017,Valencia       3,-,0     Leganes
2017-2018,05.11.2017,Levante       1,-,2     Girona
2017-2018,17.11.2017,Girona       1,-,1     R. Sociedad
2017-2018,18.11.2017,Getafe       4,-,1     Alaves
2017-2018,19.11.2017,Malaga       3,-,2     Deportivo
2017-2018,20.11.2017,Eibar       5,-,0     Real Betis
2017-2018,24.11.2017,Celta Vigo       1,-,0     Leganes
2017-2018,25.11.2017,Alaves       1,-,2     Eibar
2017-2018,26.11.2017,Deportivo       2,-,2     Ath. Bilbao
2017-2018,27.11.2017,Espanyol       1,-,0     Getafe
2017-2018,01.12.2017,Malaga       0,-,0     Levante
2017-2018,02.12.2017,Barcelona       2,-,2     Celta Vigo
2017-2018,03.12.2017,Leganes       3,-,1     Villarreal
2017-2018,04.12.2017,Girona       2,-,3     Alaves
2017-2018,08.12.2017,Alaves       2,-,0     Las Palmas
2017-2018,09.12.2017,Getafe       0,-,0     Eibar
2017-2018,10.12.2017,R. Sociedad       0,-,2     Malaga
2017-2018,11.12.2017,Espanyol       0,-,1     Girona
2017-2018,15.12.2017,Sevilla       0,-,0     Levante
2017-2018,16.12.2017,Ath. Bilbao       0,-,0     R. Sociedad
2017-2018,17.12.2017,Girona       1,-,0     Getafe
2017-2018,18.12.2017,Malaga       0,-,2     Real Betis
2017-2018,19.12.2017,Levante       0,-,0     Leganes
2017-2018,20.12.2017,Getafe       2,-,0     Las Palmas
2017-2018,21.12.2017,Eibar       4,-,1     Girona
2017-2018,22.12.2017,Real Betis       0,-,2     Ath. Bilbao
2017-2018,23.12.2017,Real Madrid       0,-,3     Barcelona
2017-2018,06.01.2018,Atl. Madrid       2,-,0     Getafe
2017-2018,07.01.2018,Leganes       1,-,0     R. Sociedad
2017-2018,08.01.2018,Malaga       0,-,1     Espanyol
2017-2018,12.01.2018,Getafe       1,-,0     Malaga
2017-2018,13.01.2018,Girona       6,-,0     Las Palmas
2017-2018,14.01.2018,Levante       0,-,1     Celta Vigo
2017-2018,15.01.2018,Real Betis       3,-,2     Leganes
2017-2018,19.01.2018,Getafe       2,-,2     Ath. Bilbao
2017-2018,20.01.2018,Espanyol       0,-,3     Sevilla
2017-2018,21.01.2018,Alaves       2,-,2     Leganes
2017-2018,22.01.2018,Eibar       1,-,1     Malaga
2017-2018,26.01.2018,Ath. Bilbao       1,-,1     Eibar
2017-2018,27.01.2018,Deportivo       2,-,2     Levante
2017-2018,28.01.2018,Leganes       3,-,2     Espanyol
2017-2018,29.01.2018,Celta Vigo       3,-,2     Real Betis
2017-2018,02.02.2018,R. Sociedad       5,-,0     Deportivo
2017-2018,03.02.2018,Eibar       5,-,1     Sevilla
2017-2018,04.02.2018,Getafe       0,-,0     Leganes
2017-2018,05.02.2018,Las Palmas       1,-,0     Malaga
2017-2018,09.02.2018,Ath. Bilbao       0,-,0     Las Palmas
2017-2018,10.02.2018,Villarreal       1,-,2     Alaves
2017-2018,11.02.2018,Sevilla       1,-,0     Girona
2017-2018,12.02.2018,Deportivo       0,-,1     Real Betis
2017-2018,16.02.2018,Girona       3,-,0     Leganes
2017-2018,17.02.2018,Las Palmas       1,-,2     Sevilla
2017-2018,18.02.2018,R. Sociedad       3,-,0     Levante
2017-2018,19.02.2018,Getafe       3,-,0     Celta Vigo
2017-2018,21.02.2018,Leganes       1,-,3     Real Madrid
2017-2018,23.02.2018,Deportivo       0,-,0     Espanyol
2017-2018,24.02.2018,Celta Vigo       2,-,0     Eibar
2017-2018,25.02.2018,Villarreal       1,-,0     Getafe
2017-2018,26.02.2018,Levante       0,-,2     Real Betis
2017-2018,27.02.2018,Espanyol       1,-,0     Real Madrid
2017-2018,28.02.2018,Getafe       3,-,0     Deportivo
2017-2018,01.03.2018,Real Betis       0,-,0     R. Sociedad
2017-2018,03.03.2018,Villarreal       0,-,2     Girona
2017-2018,04.03.2018,Levante       1,-,1     Espanyol
2017-2018,05.03.2018,Celta Vigo       2,-,1     Las Palmas
2017-2018,09.03.2018,Girona       2,-,0     Deportivo
2017-2018,10.03.2018,Eibar       1,-,2     Real Madrid
2017-2018,11.03.2018,Espanyol       2,-,1     R. Sociedad
2017-2018,12.03.2018,Alaves       1,-,3     Real Betis
2017-2018,16.03.2018,Levante       2,-,1     Eibar
2017-2018,17.03.2018,Deportivo       1,-,1     Las Palmas
2017-2018,18.03.2018,Leganes       2,-,1     Sevilla
2017-2018,31.03.2018,Girona       1,-,1     Levante
2017-2018,01.04.2018,Espanyol       0,-,0     Alaves
2017-2018,02.04.2018,Getafe       0,-,1     Real Betis
2017-2018,06.04.2018,Deportivo       3,-,2     Malaga
2017-2018,07.04.2018,Alaves       2,-,0     Getafe
2017-2018,08.04.2018,Levante       2,-,1     Las Palmas
2017-2018,09.04.2018,Villarreal       1,-,3     Ath. Bilbao
2017-2018,13.04.2018,Girona       0,-,1     Real Betis
2017-2018,14.04.2018,Sevilla       2,-,2     Villarreal
2017-2018,15.04.2018,Eibar       0,-,1     Alaves
2017-2018,17.04.2018,Deportivo       0,-,0     Sevilla
2017-2018,18.04.2018,Espanyol       0,-,1     Eibar
2017-2018,19.04.2018,R. Sociedad       3,-,0     Atl. Madrid
2017-2018,20.04.2018,Leganes       0,-,0     Deportivo
2017-2018,21.04.2018,Eibar       0,-,1     Getafe
2017-2018,22.04.2018,Girona       0,-,2     Espanyol
2017-2018,23.04.2018,Ath. Bilbao       1,-,3     Levante
2017-2018,27.04.2018,Levante       2,-,1     Sevilla
2017-2018,28.04.2018,Espanyol       1,-,1     Las Palmas
2017-2018,29.04.2018,Getafe       1,-,1     Girona
2017-2018,30.04.2018,Real Betis       2,-,1     Malaga
2017-2018,04.05.2018,Sevilla       1,-,0     R. Sociedad
2017-2018,05.05.2018,Girona       1,-,4     Eibar
2017-2018,06.05.2018,Malaga       0,-,3     Alaves
2017-2018,07.05.2018,Leganes       0,-,3     Levante
2017-2018,09.05.2018,Barcelona       5,-,1     Villarreal
2017-2018,12.05.2018,R. Sociedad       3,-,2     Leganes
2017-2018,13.05.2018,Espanyol       4,-,1     Malaga
2017-2018,19.05.2018,Celta Vigo       4,-,2     Levante
2017-2018,20.05.2018,Valencia       2,-,1     Deportivo
2018-2019,17.08.2018,Girona       0,-,0     R. Valladolid
2018-2019,18.08.2018,Celta Vigo       1,-,1     Espanyol
2018-2019,19.08.2018,Eibar       1,-,2     Huesca
2018-2019,20.08.2018,Valencia       1,-,1     Atl. Madrid
2018-2019,24.08.2018,Getafe       2,-,0     Eibar
2018-2019,25.08.2018,Alaves       0,-,0     Real Betis
2018-2019,26.08.2018,Espanyol       2,-,0     Valencia
2018-2019,27.08.2018,Levante       1,-,2     Celta Vigo
2018-2019,31.08.2018,Getafe       0,-,0     R. Valladolid
2018-2019,01.09.2018,Celta Vigo       2,-,0     Atl. Madrid
2018-2019,02.09.2018,Levante       2,-,2     Valencia
2018-2019,14.09.2018,Huesca       0,-,1     Rayo Vallecano
2018-2019,15.09.2018,Atl. Madrid       1,-,1     Eibar
2018-2019,16.09.2018,Leganes       0,-,1     Villarreal
2018-2019,17.09.2018,Girona       3,-,2     Celta Vigo
2018-2019,21.09.2018,Huesca       0,-,1     R. Sociedad
2018-2019,22.09.2018,Rayo Vallecano       1,-,5     Alaves
2018-2019,23.09.2018,Levante       2,-,6     Sevilla
2018-2019,25.09.2018,Espanyol       1,-,0     Eibar
2018-2019,26.09.2018,Ath. Bilbao       0,-,3     Villarreal
2018-2019,27.09.2018,Alaves       1,-,1     Getafe
2018-2019,28.09.2018,Rayo Vallecano       2,-,2     Espanyol
2018-2019,29.09.2018,R. Sociedad       0,-,1     Valencia
2018-2019,30.09.2018,Huesca       1,-,1     Girona
2018-2019,01.10.2018,Celta Vigo       1,-,1     Getafe
2018-2019,05.10.2018,Ath. Bilbao       1,-,3     R. Sociedad
2018-2019,06.10.2018,Girona       2,-,3     Eibar
2018-2019,07.10.2018,R. Valladolid       1,-,0     Huesca
2018-2019,19.10.2018,Celta Vigo       0,-,1     Alaves
2018-2019,20.10.2018,Real Madrid       1,-,2     Levante
2018-2019,21.10.2018,Rayo Vallecano       1,-,2     Getafe
2018-2019,22.10.2018,R. Sociedad       0,-,0     Girona
2018-2019,24.10.2018,Rayo Vallecano       1,-,1     Ath. Bilbao
2018-2019,26.10.2018,R. Valladolid       1,-,1     Espanyol
2018-2019,27.10.2018,Girona       2,-,1     Rayo Vallecano
2018-2019,28.10.2018,Getafe       2,-,0     Real Betis
2018-2019,03.11.2018,Leganes       1,-,1     Atl. Madrid
2018-2019,04.11.2018,Eibar       2,-,1     Alaves
2018-2019,05.11.2018,Espanyol       1,-,0     Ath. Bilbao
2018-2019,09.11.2018,Levante       1,-,3     R. Sociedad
2018-2019,10.11.2018,R. Valladolid       0,-,0     Eibar
2018-2019,11.11.2018,Alaves       2,-,1     Huesca
2018-2019,23.11.2018,Leganes       1,-,0     Alaves
2018-2019,24.11.2018,Eibar       3,-,0     Real Madrid
2018-2019,25.11.2018,Ath. Bilbao       1,-,1     Getafe
2018-2019,26.11.2018,R. Sociedad       2,-,1     Celta Vigo
2018-2019,30.11.2018,Rayo Vallecano       1,-,0     Eibar
2018-2019,01.12.2018,Celta Vigo       2,-,0     Huesca
2018-2019,02.12.2018,Real Betis       1,-,0     R. Sociedad
2018-2019,03.12.2018,Levante       3,-,0     Ath. Bilbao
2018-2019,07.12.2018,Leganes       1,-,1     Getafe
2018-2019,08.12.2018,Atl. Madrid       3,-,0     Alaves
2018-2019,09.12.2018,Eibar       4,-,4     Levante
2018-2019,10.12.2018,Ath. Bilbao       1,-,0     Girona
2018-2019,14.12.2018,Celta Vigo       0,-,0     Leganes
2018-2019,15.12.2018,Getafe       1,-,0     R. Sociedad
2018-2019,16.12.2018,Sevilla       2,-,0     Girona
2018-2019,17.12.2018,Alaves       0,-,0     Ath. Bilbao
2018-2019,21.12.2018,Girona       1,-,1     Getafe
2018-2019,22.12.2018,Real Betis       1,-,1     Eibar
2018-2019,23.12.2018,Valencia       2,-,1     Huesca
2018-2019,03.01.2019,Villarreal       2,-,2     Real Madrid
2018-2019,04.01.2019,Levante       2,-,2     Girona
2018-2019,05.01.2019,R. Valladolid       0,-,1     Rayo Vallecano
2018-2019,06.01.2019,Eibar       0,-,0     Villarreal
2018-2019,07.01.2019,Celta Vigo       1,-,2     Ath. Bilbao
2018-2019,11.01.2019,Rayo Vallecano       4,-,2     Celta Vigo
2018-2019,12.01.2019,Leganes       1,-,0     Huesca
2018-2019,13.01.2019,Atl. Madrid       1,-,0     Levante
2018-2019,14.01.2019,R. Sociedad       3,-,2     Espanyol
2018-2019,18.01.2019,Getafe       4,-,0     Alaves
2018-2019,19.01.2019,Real Madrid       2,-,0     Sevilla
2018-2019,20.01.2019,Real Betis       3,-,2     Girona
2018-2019,21.01.2019,Eibar       3,-,0     Espanyol
2018-2019,26.01.2019,Sevilla       5,-,0     Levante
2018-2019,27.01.2019,R. Valladolid       2,-,1     Celta Vigo
2018-2019,28.01.2019,Alaves       0,-,1     Rayo Vallecano
2018-2019,01.02.2019,Huesca       4,-,0     R. Valladolid
2018-2019,02.02.2019,Levante       0,-,0     Getafe
2018-2019,03.02.2019,Villarreal       2,-,2     Espanyol
2018-2019,04.02.2019,Rayo Vallecano       1,-,2     Leganes
2018-2019,08.02.2019,R. Valladolid       0,-,0     Villarreal
2018-2019,09.02.2019,Getafe       3,-,1     Celta Vigo
2018-2019,10.02.2019,Leganes       3,-,0     Real Betis
2018-2019,11.02.2019,Alaves       2,-,0     Levante
2018-2019,15.02.2019,Eibar       2,-,2     Getafe
2018-2019,16.02.2019,Celta Vigo       1,-,4     Levante
2018-2019,17.02.2019,Real Madrid       1,-,2     Girona
2018-2019,18.02.2019,Huesca       0,-,1     Ath. Bilbao
2018-2019,22.02.2019,Espanyol       1,-,1     Huesca
2018-2019,23.02.2019,Getafe       2,-,1     Rayo Vallecano
2018-2019,24.02.2019,Leganes       1,-,1     Valencia
2018-2019,25.02.2019,Girona       0,-,0     R. Sociedad
2018-2019,01.03.2019,Rayo Vallecano       0,-,2     Girona
2018-2019,02.03.2019,Espanyol       3,-,1     R. Valladolid
2018-2019,03.03.2019,Eibar       1,-,0     Celta Vigo
2018-2019,04.03.2019,Leganes       1,-,0     Levante
2018-2019,08.03.2019,Ath. Bilbao       1,-,1     Espanyol
2018-2019,09.03.2019,Alaves       1,-,1     Eibar
2018-2019,10.03.2019,Celta Vigo       0,-,1     Real Betis
2018-2019,15.03.2019,R. Sociedad       1,-,1     Levante
2018-2019,16.03.2019,Huesca       1,-,3     Alaves
2018-2019,17.03.2019,Eibar       1,-,2     R. Valladolid
2018-2019,29.03.2019,Girona       1,-,2     Ath. Bilbao
2018-2019,30.03.2019,Getafe       0,-,2     Leganes
2018-2019,31.03.2019,Levante       2,-,2     Eibar
2018-2019,02.04.2019,Atl. Madrid       2,-,0     Girona
2018-2019,03.04.2019,Ath. Bilbao       3,-,2     Levante
2018-2019,04.04.2019,Sevilla       2,-,0     Alaves
2018-2019,06.04.2019,Girona       1,-,2     Espanyol
2018-2019,07.04.2019,Alaves       1,-,1     Leganes
2018-2019,13.04.2019,Espanyol       2,-,1     Alaves
2018-2019,14.04.2019,R. Valladolid       2,-,2     Getafe
2018-2019,15.04.2019,Leganes       1,-,1     Real Madrid
2018-2019,19.04.2019,Alaves       2,-,2     R. Valladolid
2018-2019,20.04.2019,Celta Vigo       2,-,1     Girona
2018-2019,21.04.2019,Levante       2,-,2     Espanyol
2018-2019,23.04.2019,Huesca       2,-,0     Eibar
2018-2019,24.04.2019,Atl. Madrid       3,-,2     Valencia
2018-2019,25.04.2019,Sevilla       5,-,0     Rayo Vallecano
2018-2019,27.04.2019,Ath. Bilbao       1,-,1     Alaves
2018-2019,28.04.2019,Valencia       0,-,1     Eibar
2018-2019,29.04.2019,Real Betis       1,-,1     Espanyol
2018-2019,03.05.2019,Sevilla       0,-,3     Leganes
2018-2019,04.05.2019,Levante       4,-,1     Rayo Vallecano
2018-2019,05.05.2019,Getafe       2,-,0     Girona
2018-2019,12.05.2019,Ath. Bilbao       3,-,1     Celta Vigo
2018-2019,18.05.2019,Levante       2,-,2     Atl. Madrid
2018-2019,19.05.2019,Real Madrid       0,-,2     Real Betis
2019-2020,16.08.2019,Ath. Bilbao       1,-,0     Barcelona
2019-2020,17.08.2019,Celta Vigo       1,-,3     Real Madrid
2019-2020,18.08.2019,Alaves       1,-,0     Levante
2019-2020,23.08.2019,Granada       0,-,1     Sevilla
2019-2020,24.08.2019,Osasuna       0,-,0     Eibar
2019-2020,25.08.2019,Alaves       0,-,0     Espanyol
2019-2020,30.08.2019,Sevilla       1,-,1     Celta Vigo
2019-2020,31.08.2019,Osasuna       2,-,2     Barcelona
2019-2020,01.09.2019,Valencia       2,-,0     Mallorca
2019-2020,13.09.2019,Mallorca       0,-,0     Ath. Bilbao
2019-2020,14.09.2019,Real Madrid       3,-,2     Levante
2019-2020,15.09.2019,Eibar       1,-,2     Espanyol
2019-2020,20.09.2019,Osasuna       0,-,0     Real Betis
2019-2020,21.09.2019,Villarreal       2,-,0     R. Valladolid
2019-2020,22.09.2019,Getafe       4,-,2     Mallorca
2019-2020,24.09.2019,R. Valladolid       1,-,1     Granada
2019-2020,25.09.2019,Leganes       1,-,1     Ath. Bilbao
2019-2020,26.09.2019,Eibar       3,-,2     Sevilla
2019-2020,27.09.2019,Villarreal       5,-,1     Real Betis
2019-2020,28.09.2019,Ath. Bilbao       0,-,1     Valencia
2019-2020,29.09.2019,Espanyol       0,-,2     R. Valladolid
2019-2020,04.10.2019,Real Betis       1,-,1     Eibar
2019-2020,05.10.2019,Leganes       1,-,2     Levante
2019-2020,06.10.2019,Mallorca       2,-,0     Espanyol
2019-2020,18.10.2019,Granada       1,-,0     Osasuna
